scenario,node,method,mismatch,noise_std,num_runs,mae_mean,mae_std,rmse_mean,rmse_std,mean_l1_mean,mean_l1_std,steady_l1_mean,steady_l1_std,final_l1_mean,final_l1_std,mean_abs_u_mean,mean_abs_u_std,energy_u_mean,energy_u_std,saturation_fraction_mean,saturation_fraction_std,max_post_pulse_mean,max_post_pulse_std,mean_post_pulse_error_mean,mean_post_pulse_error_std
mismatch,3,LQR,0.0,0.0,20,0.050989270932401576,0.020949506345984803,0.16646488478609361,0.05703335294822795,0.15296781279720473,0.06284851903795441,2.235403326828677e-05,2.5466807419046515e-05,4.323991015553475e-06,4.179233088304244e-06,0.08738334174436728,0.04324250077282724,2.648745658842392,2.202997524479642,0.002125,0.0044629321256204136,,,,
mismatch,3,LQR,0.5,0.0,20,0.05743675992986906,0.02166163077614537,0.14644324663660457,0.054207293697553754,0.17231027978960717,0.0649848923284361,0.04249063862277839,0.020525709844899025,0.041730226401705296,0.047724959746989294,0.11033392293878932,0.043473761287450556,3.38517490983514,2.303266504837368,0.003125,0.004579344356656541,,,,
mismatch,3,LQR,1.0,0.0,20,0.07106357158607039,0.024454505810597906,0.15323179906140838,0.05274546453565955,0.21319071475821122,0.07336351743179373,0.08421336560751552,0.040333388281367406,0.08268857195507735,0.0941201806727627,0.12727415010289783,0.04218099734058829,3.416549262681903,2.305322605510963,0.003125,0.004579344356656541,,,,
mismatch,3,LQR,1.5,0.0,20,0.08493770055620137,0.028490221490455814,0.16273774577148972,0.05202170020447665,0.25481310166860405,0.08547066447136745,0.12539184722161195,0.059901764928341136,0.12298428136855363,0.1394622626683783,0.14495176773620724,0.04257745917255438,3.474554572712237,2.3071458191744902,0.003125,0.004579344356656541,,,,
mismatch,3,LQR,2.0,0.0,20,0.09890870556683555,0.033326064266823864,0.17422968367045094,0.05274066304272222,0.29672611670050675,0.0999781928004716,0.16621115719554602,0.07962969176277362,0.16271671976428478,0.18414123706099497,0.16312573769736677,0.04466248029156937,3.559241243307054,2.310007896136075,0.003125,0.004579344356656541,,,,
mismatch,3,PPO,0.0,0.0,60,0.043139548069812954,0.01867933968570276,0.1433610145672869,0.053300065357605994,0.12941864420943888,0.05603801905710828,0.009091709084647619,0.0060853665037896194,0.009053153715406855,0.00767148380241214,0.12628512061439576,0.045796153443585105,6.535917017098632,3.090089849534746,0.016833333333333332,0.009977375536626356,,,,
mismatch,3,PPO,0.5,0.0,60,0.04389606595617928,0.021498620921483313,0.12790195685561936,0.05812923433379326,0.13168819786853786,0.06449586276444993,0.026017381306478963,0.015066423529654645,0.020780337310861798,0.016704794263131744,0.13261999617424503,0.04577860650946264,6.278248480778987,2.5989532120792544,0.016166666666666666,0.008392726202334057,,,,
mismatch,3,PPO,1.0,0.0,60,0.0505829717861873,0.023030337512756203,0.13033787786978687,0.05690249023610382,0.1517489153585619,0.0690910125382686,0.048701968648060846,0.030209538343851237,0.03825504231499508,0.0338146861098031,0.14800377739574516,0.043628965961361066,6.306250708861681,2.608724092814828,0.016166666666666666,0.008392726202334057,,,,
mismatch,3,PPO,1.5,0.0,60,0.057894282997158424,0.025336323466752887,0.13409994266347167,0.05565197772443735,0.17368284899147532,0.07600897040025867,0.07200495839289507,0.045841081060494816,0.05615840892617901,0.05132057533700593,0.16445651170233472,0.04309970910851331,6.363742490639481,2.6224221235154808,0.016291666666666666,0.008493413034331453,,,,
mismatch,3,PPO,2.0,0.0,60,0.06558921886451075,0.02816991379733895,0.13893422913720385,0.05477046131270284,0.1967676565935322,0.08450974139201685,0.09547352081240411,0.06159952473416222,0.07444617070723325,0.0690021313806549,0.1814661667404111,0.044091632490272516,6.440593860340473,2.626178898785275,0.016291666666666666,0.008493413034331453,,,,
noise,2,LQR,0.0,0.0,20,0.09069465470204849,0.07554084795221791,0.3003675720314937,0.22318775244868388,0.2720839641061455,0.22662254385665373,2.023535435674367e-07,2.5710509610809475e-07,5.043111741542816e-08,1.1778320189625107e-07,0.0895042447427197,0.05587131472223131,3.775851110769346,3.3230010037301754,0.006500000000000001,0.007838837185517545,,,,
noise,2,LQR,0.0,0.01,20,0.14381119821747843,0.0735011041375968,0.3221031130655232,0.21454119829942028,0.4314335946524353,0.2205033124127904,0.17081845451798866,0.05568466521865693,0.18460614932700992,0.1504101058588133,0.1787022667457126,0.054031282634985196,4.157952171985142,3.411594544466557,0.0063750000000000005,0.007799924088699434,,,,
noise,2,LQR,0.0,0.02,20,0.19932574311604973,0.07368169154637509,0.36454981728337044,0.200381023932423,0.5979772293481493,0.22104507463912526,0.34386758417506236,0.10887939250365969,0.36776269334368406,0.3003917184477115,0.27191429947739304,0.05326100017516756,5.152617474821677,3.4833327041114908,0.0063750000000000005,0.007629366739258591,,,,
noise,2,LQR,0.0,0.05,20,0.37422106944735634,0.08836904847593702,0.548824283031198,0.17641090451640773,1.1226632083420691,0.2651071454278111,0.8978920118684914,0.28571715262492114,0.9615972869098186,0.762867932988169,0.5517993357268036,0.06086702115684442,11.671006111252641,3.826384656800471,0.007250000000000001,0.00854169341031329,,,,
noise,2,PPO,0.0,0.0,60,0.0929981289513692,0.07331881807286514,0.2863257572069679,0.22464704303646094,0.2789943868541076,0.21995645421859542,0.04255003026902672,0.01758397956103889,0.03469352051615715,0.03025535253320978,0.16260495341320216,0.09389672003505922,9.088689533636172,6.680523355985504,0.02183333333333333,0.018214044373213174,,,,
noise,2,PPO,0.0,0.01,60,0.11715339529373371,0.07551158433090774,0.29616576478353795,0.22339449994523639,0.3514601858812011,0.22653475299272324,0.11378547282326092,0.03983013527780613,0.12007787696784362,0.0844950209472795,0.9119378536388414,0.514064165032012,35.74383869389848,29.9749476693687,0.029375000000000002,0.021904187549493585,,,,
noise,2,PPO,0.0,0.02,60,0.15077348993520687,0.07681827865194929,0.31714411848638846,0.21831453826295727,0.45232046980562063,0.2304548359558479,0.20987920847849792,0.06487035598568901,0.21553747854971636,0.1663560066446485,1.341329271732485,0.5440184982552282,62.105028133949354,40.428984523011,0.059291666666666666,0.05327433729408837,,,,
noise,2,PPO,0.0,0.05,60,0.2668743240247774,0.08696977971251815,0.4258694965347812,0.20312769422331547,0.8006229720743322,0.26090933913755454,0.5383436305884851,0.16640347345384748,0.5227824226332207,0.44176452778000375,2.2103059111595007,0.4242387281519982,135.5674788426157,40.682775520659675,0.23091666666666663,0.1265170373288249,,,,
noise,3,LQR,0.0,0.0,20,0.050989270932401576,0.020949506345984803,0.16646488478609361,0.05703335294822795,0.15296781279720473,0.06284851903795441,2.235403326828677e-05,2.5466807419046515e-05,4.323991015553475e-06,4.179233088304244e-06,0.08738334174436728,0.04324250077282724,2.648745658842392,2.202997524479642,0.002125,0.0044629321256204136,,,,
