model_name,train_seed,node,method,test_seed,mismatch,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error,recovery_steps,recovery_time
zero_input,-1,2,Zero Input,3,0.0,200,0.9871608292620477,1.5559880399663286,2.961482487786143,3.3881067162678566,3.393955945968628,0.0,0.0,0.0,14.894829750061035,5.11927798672102,-1,nan
linear_gain_8,-1,2,Linear,4,0.0,200,3.2141288085774837,4.349606641285862,9.642386425732452,5.621397668196831,11.856934994459152,1.814053452594619,91.51583504024082,0.095,17.068357467651367,10.617201704995253,-1,nan
lqr_node2_q1_r1,-1,2,LQR,4,0.0,200,0.523255488267811,1.0724125583666717,1.5697664648034328,0.09945602482759658,0.005097448825836182,0.31183893062088397,13.078780816653603,0.0225,14.999739170074463,2.3747797450004375,147,7.3500000000000005
zero_input,-1,2,Zero Input,4,0.0,200,1.6596076818769883,2.122232167244834,4.978823045630965,3.9104053606221707,6.742515683174133,0.0,0.0,0.0,15.44265365600586,5.3305124435851825,-1,nan
linear_gain_8,-1,2,Linear,5,0.0,200,2.4067729427459854,3.7261980239034576,7.220318828237956,5.616926459250627,11.886463910341263,1.4459794755662765,75.24298583479211,0.1125,16.550283432006836,10.267637576416728,-1,nan
lqr_node2_q1_r1,-1,2,LQR,5,0.0,200,0.45080862773066743,1.0561380342445479,1.3524258831920024,0.10573617099887794,0.006044745445251465,0.25462931532496197,10.525092976672312,0.0125,14.999961376190186,2.5353745200499818,150,7.5
zero_input,-1,2,Zero Input,5,0.0,200,2.1319094686981845,2.70816818045459,6.395728406094554,4.4896549258703065,3.574064254760742,0.0,0.0,0.0,15.635319709777832,5.6862432698705305,-1,nan
linear_gain_8,-1,2,Linear,6,0.0,200,1.9160651101491546,2.669560260287605,5.748195330447464,5.438715724665442,11.748164743185043,1.3507550931779524,55.77351952005794,0.0525,16.000879049301147,6.720760842071688,-1,nan
lqr_node2_q1_r1,-1,2,LQR,6,0.0,200,0.4136040956842545,0.9791255434340304,1.2408122870527636,0.0984764609163926,0.0046575069427490234,0.20193018694173415,6.700614350439925,0.01,14.999999046325684,2.338226827167308,147,7.3500000000000005
zero_input,-1,2,Zero Input,6,0.0,200,1.8215256296810465,2.3400905032822346,5.46457688904314,3.605453429582678,3.8014864921569824,0.0,0.0,0.0,13.676840424537659,5.848267493037442,-1,nan
linear_gain_8,-1,2,Linear,7,0.0,200,2.2522742737422163,3.2799574234048428,6.756822821226649,5.294551142203955,11.821026980876923,1.4871989956817722,67.15477598074413,0.055,17.75605845451355,5.223574246534735,-1,nan
lqr_node2_q1_r1,-1,2,LQR,7,0.0,200,0.5086373889877625,1.0756750888626307,1.5259121669632874,0.10414403338951093,0.005816340446472168,0.2815254455220683,11.431996962175907,0.0175,14.999855518341064,2.492976797207152,149,7.45
zero_input,-1,2,Zero Input,7,0.0,200,1.8271403961992223,2.367359884853313,5.481421188597667,3.087158622013198,3.596156120300293,0.0,0.0,0.0,15.745481491088867,4.918482357219084,-1,nan
linear_gain_8,-1,2,Linear,8,0.0,200,1.3613748446003173,2.203601336799407,4.084124533800952,5.234401588454658,11.81941705942154,1.041711925884286,43.835169351594246,0.045,18.02882432937622,4.991454842968366,-1,nan
lqr_node2_q1_r1,-1,2,LQR,8,0.0,200,0.44728509877542855,1.0664048336230108,1.3418552963262855,0.10625493632238588,0.006146371364593506,0.20394056485548753,7.0029177043574995,0.01,15.000037670135498,2.5797124974133068,150,7.5
zero_input,-1,2,Zero Input,8,0.0,200,0.9556770606271471,1.6337054108572957,2.8670311818814413,3.6453043858946104,3.8560428619384766,0.0,0.0,0.0,14.998604774475098,5.556195429753308,-1,nan
linear_gain_8,-1,2,Linear,9,0.0,200,1.925259022653747,2.859705865966014,5.775777067961241,5.360834941451932,11.818431943655014,1.3228746759623957,56.87473461532255,0.05,17.317038774490356,5.585478949420784,-1,nan
lqr_node2_q1_r1,-1,2,LQR,9,0.0,200,0.4288718026727113,1.0263166122819076,1.2866154080181338,0.10305172852297992,0.005588889122009277,0.1982995510598123,6.635457480417237,0.01,14.999996662139893,2.451320321864416,149,7.45
zero_input,-1,2,Zero Input,9,0.0,200,1.5085162448875624,2.073094340647765,4.525548734662688,4.360497058909616,6.589635610580444,0.0,0.0,0.0,14.54009485244751,6.694654560726674,-1,nan
linear_gain_8,-1,2,Linear,10,0.0,200,3.341905798410791,4.534846836436884,10.025717395232373,5.5840900326952525,11.818084865808487,1.880187053131195,97.46061921476775,0.095,17.828023433685303,10.797236109272905,-1,nan
lqr_node2_q1_r1,-1,2,LQR,10,0.0,200,0.6431244334178116,1.2298033128141719,1.9293733002534346,0.10099474221100042,0.005142390727996826,0.3636380380086753,16.80659249955252,0.0325,15.000178813934326,2.3864939651679045,147,7.3500000000000005
zero_input,-1,2,Zero Input,10,0.0,200,2.074528613472272,2.6022641116441663,6.223585840416817,4.69773358952852,7.5706340074539185,0.0,0.0,0.0,14.224148273468018,6.577186356470063,-1,nan
linear_gain_8,-1,2,Linear,11,0.0,200,1.926765103023174,2.793671392092604,5.780295309069523,5.347140847532837,11.907071352005005,1.3249848198860958,54.101088999280734,0.0475,17.917081356048584,5.2623909019600985,-1,nan
lqr_node2_q1_r1,-1,2,LQR,11,0.0,200,0.5877678103281258,1.2097173664459122,1.7633034309843774,0.11118043757929111,0.006930887699127197,0.2817562127475139,11.571378198255985,0.0225,15.000113010406494,2.9850595185755573,153,7.65
zero_input,-1,2,Zero Input,11,0.0,200,1.304284654046755,1.7702437578349381,3.9128539621402645,4.156717750393314,3.399139106273651,0.0,0.0,0.0,15.858731985092163,5.602669446474284,-1,nan
linear_gain_8,-1,2,Linear,12,0.0,200,1.346669177852218,2.1940570267949346,4.040007533556654,5.224118805225984,11.81409403681755,1.0611157894431802,46.53064987815121,0.0525,18.048031091690063,4.969562877590458,-1,nan
lqr_node2_q1_r1,-1,2,LQR,12,0.0,200,0.4464803504605072,1.0646992518547502,1.3394410513815216,0.1062814573538892,0.006143808364868164,0.2451401338531793,10.525922421909767,0.0175,14.999988079071045,2.5723373626372705,150,7.5
zero_input,-1,2,Zero Input,12,0.0,200,1.6375629691312636,2.123209776860316,4.9126889073937905,2.899581370898235,3.665187656879425,0.0,0.0,0.0,16.612693309783936,5.380874715337706,-1,nan
linear_gain_8,-1,2,Linear,13,0.0,200,2.2499886455427753,3.2500330845396515,6.749965936628326,5.314306132955315,11.814319908618927,1.5029016802658761,67.94800531981498,0.0575,17.61864709854126,5.327942010172786,-1,nan
lqr_node2_q1_r1,-1,2,LQR,13,0.0,200,0.5657960395479663,1.1159165201664527,1.6973881186438988,0.10254526441847836,0.0055779218673706055,0.3214606501381472,13.704413938618302,0.025,14.999732494354248,2.44413311338395,148,7.4
zero_input,-1,2,Zero Input,13,0.0,200,1.9904750311067474,2.502331634106535,5.971425093320242,4.370992112490866,3.3587111830711365,0.0,0.0,0.0,15.461125373840332,5.662408490456752,-1,nan
linear_gain_8,-1,2,Linear,14,0.0,200,2.971570498595697,4.086574712936409,8.914711495787092,5.610051541416733,11.860040336847305,1.6915469833665953,82.28006141961433,0.0975,16.74255347251892,10.503470717572528,-1,nan
lqr_node2_q1_r1,-1,2,LQR,14,0.0,200,0.43670358905779294,1.0216853859814816,1.3101107671733787,0.10265914322003539,0.005528807640075684,0.23004424919178557,8.755192518265144,0.01,14.999953269958496,2.436050679548574,148,7.4
zero_input,-1,2,Zero Input,14,0.0,200,1.5774802270555188,2.115981764585521,4.7324406811665565,2.530841974610532,5.980322003364563,0.0,0.0,0.0,14.623953342437744,4.743065302737465,-1,nan
linear_gain_8,-1,2,Linear,15,0.0,200,2.586267980569641,3.8731364761083245,7.758803941708922,5.5982865003156075,11.868042945861816,1.5255680860872578,77.5966576796446,0.0975,16.552841544151306,10.267461943759846,-1,nan
lqr_node2_q1_r1,-1,2,LQR,15,0.0,200,0.4468735375690118,1.0453796625631815,1.3406206127070355,0.10596391236708488,0.006040811538696289,0.20172369004117224,6.742691907692656,0.01,14.999959945678711,2.5126395609915555,150,7.5
zero_input,-1,2,Zero Input,15,0.0,200,1.4138635290617856,1.9697279049393137,4.241590587185357,4.1667005992781965,3.9242032170295715,0.0,0.0,0.0,15.151231288909912,6.435929780464564,-1,nan
linear_gain_8,-1,2,Linear,16,0.0,200,2.778675317516549,4.020838603331611,8.336025952549647,5.562178625000848,11.808832883834839,1.608248269468769,79.23222435362439,0.095,16.964029788970947,10.596097222348646,-1,nan
lqr_node2_q1_r1,-1,2,LQR,16,0.0,200,0.4212850934850224,1.0073140309725732,1.2638552804550671,0.10373672097921371,0.00552743673324585,0.19454569119292595,6.7486914751638585,0.01,14.999976634979248,2.4186858297209834,148,7.4
