scenario,node,method,mismatch,noise_std,num_runs,mae_mean,mae_std,rmse_mean,rmse_std,mean_l1_mean,mean_l1_std,steady_l1_mean,steady_l1_std,final_l1_mean,final_l1_std,mean_abs_u_mean,mean_abs_u_std,energy_u_mean,energy_u_std,saturation_fraction_mean,saturation_fraction_std,max_post_pulse_mean,max_post_pulse_std,mean_post_pulse_error_mean,mean_post_pulse_error_std
noise,2,PPO,0.0,0.0,3,0.04720243154307552,0.0034322540671531225,0.16786974397926216,0.0003742689351657182,0.14160729462922653,0.010296762201459371,0.037126995741922415,0.012547897442949905,0.015735546747843426,0.009498840937269895,0.09701120739157061,0.03588781628143789,4.519187406664919,1.8745352950901697,0.008333333333333333,0.002886751345948129,,,,
noise,2,PPO,0.0,0.05,3,0.19128123570510222,0.006072732429760431,0.2731975936379632,0.010088846493389588,0.5738437071153065,0.01821819728928133,0.37356399470334684,0.02623647951503163,0.15650326013565063,0.014877429158642354,2.2978515707866802,0.5698788961751412,142.40725915818493,54.22128871061638,0.2416666666666667,0.15851524637502012,,,,
noise,3,LQR,0.0,0.0,1,0.03367172317472553,0.0,0.14910792496120948,0.0,0.1010151695241766,0.0,2.7512763569384443e-06,0.0,5.960464477539062e-07,0.0,0.03009444950940024,0.0,0.24580829794185188,0.0,0.0,0.0,,,,
noise,3,LQR,0.0,0.05,1,0.169797849187245,0.0,0.2395399425901222,0.0,0.5093935475617349,0.0,0.48393384321236316,0.0,0.41111963987350464,0.0,0.36555837961497306,0.0,4.232312089651629,0.0,0.0,0.0,,,,
noise,3,PPO,0.0,0.0,3,0.021525283669304524,0.0007897372870520629,0.11501831857949506,0.0007238357786146688,0.06457585100791358,0.0023692118611561945,0.00986302300804743,0.0056276247656977954,0.01505213975906372,0.011449789478027144,0.09773124995465676,0.007598612335569119,6.06548025876882,0.7373189954363765,0.016666666666666666,0.002886751345948129,,,,
noise,3,PPO,0.0,0.05,3,0.13404603949256386,0.00968187587187162,0.19584764266112886,0.006019699821333855,0.40213811847769154,0.02904562761561485,0.40781749394404176,0.04223926473498723,0.44512395064036053,0.06058450475030407,1.5558261741633999,0.24152334979007997,72.94371827455193,20.714041754432667,0.04833333333333334,0.02961559273986144,,,,
pulse,2,LQR,0.0,0.0,1,0.4497768556896956,0.0,1.028457961652213,0.0,1.349330567069087,0.0,0.10600737859437495,0.0,0.005836308002471924,0.0,0.17833768173108877,0.0,6.0311464180365295,0.0,0.01,0.0,15.000048637390137,0.0,2.453201316334122,0.0
pulse,2,PPO,0.0,0.0,3,0.3873392991740597,0.024271916479249204,0.9435725042593682,0.01764609618672396,1.162017897522179,0.07281574943774767,0.09350186715155472,0.032490364473107984,0.06127544244130453,0.023781798741436756,0.26596377238767505,0.03180622153379023,11.889299015493705,1.2505387773363947,0.023333333333333334,0.002886751345948129,15.000275135040283,0.006607419424774918,2.066899699279436,0.13965242746096587
pulse,3,LQR,0.0,0.0,1,0.31423599850223805,0.0,0.8108263322410907,0.0,0.9427079955067141,0.0,0.060440079113583504,0.0,0.004571199417114258,0.0,0.14102298178212302,0.0,5.111250390332101,0.0,0.01,0.0,14.999873161315918,0.0,1.6792260504035808,0.0
pulse,3,PPO,0.0,0.0,3,0.237368024911331,0.0012743394255707097,0.7612384580369387,0.001866916382700877,0.712104074733993,0.0038230182767121225,0.025616374663977957,0.0007605216524297475,0.015632490317026775,0.005193388507891154,0.279129745715266,0.049093028859288214,17.927808838786692,3.291084190942854,0.0525,0.009013878188659974,14.999154567718506,0.0006601632650701145,1.3012195547662713,0.0077681512509906354
