model_name,train_seed,node,method,test_seed,mismatch,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error,recovery_steps,recovery_time,controlled_nodes,observation_mode,observation_dim,num_control_inputs,action_limit,noise_std
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,115,0.0,-1,0.06344470117010442,0.2014176482558135,0.19033410351031327,0.03344532483498807,0.11785943806171417,0.15658219661238484,5.482332011627992,0.0025,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,116,0.0,-1,0.04453172664783573,0.1586673415290929,0.1335951799435072,0.03211125345141799,0.1079181432723999,0.07889407101154625,3.6907731448337624,0.01,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,117,0.0,-1,0.10038179022678835,0.325093543406083,0.301145370680365,0.049268863836510315,0.03373001143336296,0.2075100912900637,12.598575842542019,0.03,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,118,0.0,-1,0.045048831471420844,0.11882425178639351,0.13514649441426252,0.0643034531838364,0.015347981825470924,0.08893001662971373,3.0480224322190086,0.005,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,119,0.0,-1,0.257759091692821,0.7736753409171521,0.7732772750784631,0.016879405429655756,0.04102489352226257,0.2935125631212891,15.83748664420462,0.035,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,100,0.0,-1,0.021083370022783838,0.11437514979352915,0.06325011006835152,0.005847835194687416,0.01441943645477295,0.08994079871739533,5.346805191828404,0.015,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,101,0.0,-1,0.02078209545546353,0.06274170529764508,0.06234628636639059,0.003746379799221033,0.004103393293917179,0.0536279358768701,2.7221664521977615,0.0075,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,102,0.0,-1,0.017732700248590864,0.06361937821558325,0.05319810074577259,0.0039038880046221346,0.011597037315368652,0.07758678460581939,4.967613973733734,0.015,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,103,0.0,-1,0.06699216375617095,0.20430531821334458,0.20097649126851286,0.005284436851923848,0.0048097968101501465,0.17179688201878135,5.804947040289178,0.0125,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,104,0.0,-1,0.06735986170431728,0.2274190181680514,0.20207958511295182,0.00660532809805447,0.0034250766038894653,0.13518189827440089,9.710792766360676,0.03,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,105,0.0,-1,0.048655775193735054,0.14464776308115326,0.14596732558120515,0.008366564305982104,0.0026901550590991974,0.10820599507884195,4.828038628881881,0.01,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,106,0.0,-1,0.05340554702363936,0.18150988076612087,0.1602166410709181,0.0032301643578749564,0.004015244543552399,0.1748836399462455,8.091444602637672,0.02,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,107,0.0,-1,0.015851133169741034,0.06343145969012828,0.0475533995092231,0.0056750101244284045,0.011562764644622803,0.10359960675536843,6.287221209008456,0.0175,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,108,0.0,-1,0.045676909694020384,0.138447948771959,0.13703072908206115,0.006518587777621032,0.0037277601659297943,0.06398788174414576,2.2432499306608302,0.005,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,109,0.0,-1,0.030044951478866294,0.1046787127330397,0.09013485443659888,0.0107087269252925,0.0040339813567698,0.1366645886639407,7.10578096636059,0.0175,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,110,0.0,-1,0.039798115289143766,0.11420921340663376,0.11939434586743129,0.016509754054340315,0.003997191786766052,0.10454414570309277,3.702795918791086,0.01,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,111,0.0,-1,0.07716393679668214,0.22860734274488517,0.2314918103900464,0.006305679900249765,0.004727250896394253,0.1689464643857723,10.24669309395162,0.03,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,112,0.0,-1,0.05802520682124834,0.18897536045541294,0.17407562046374503,0.0054606396222004186,0.009765565395355225,0.1719299843650952,5.228829092340512,0.005,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,113,0.0,-1,0.051216557056039995,0.19175737756408873,0.15364967116811998,0.009846867746271101,0.018486738204956055,0.1969173263730551,11.395480313813959,0.03,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,114,0.0,-1,0.032830231483264714,0.10642187749531745,0.09849069444979414,0.004445820920353318,0.005173414945602417,0.09889991644611977,3.5001438101406266,0.005,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,115,0.0,-1,0.04329457526762543,0.14178193828551755,0.1298837258028763,0.015111936641466102,0.014723360538482666,0.15332909390107355,6.529852359503484,0.015,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,116,0.0,-1,0.021722656941577073,0.11624901049004269,0.06516797082473122,0.015464382775035906,0.013320788741111755,0.09690198560531002,5.714514752926075,0.015,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,117,0.0,-1,0.017789400614455886,0.06686552142500297,0.053368201843367664,0.00391112875342829,0.002855706959962845,0.08118231139352494,5.2600277714530135,0.015,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,118,0.0,-1,0.05936876517033061,0.17365227273169243,0.1781062955109918,0.008325337156377456,0.0026110373437404633,0.07667312040887866,2.1709488740665517,0.0025,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,119,0.0,-1,0.04532150904406466,0.18672314646716717,0.13596452713219398,0.011927977830953436,0.01714712381362915,0.1934504099747635,12.301137541356862,0.035,nan,nan,nan,nan,3,full,6,1,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,100,0.0,-1,0.04689168601032851,0.13212393674447048,0.14067505803098554,0.11198235250273604,0.047207653522491455,0.28440892559585357,8.619192840686535,0.01,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,101,0.0,-1,0.022999933804288594,0.04931478307741328,0.06899980141286578,0.05667963058308319,0.056782305240631104,0.16057625721136753,4.604958935035473,0.00625,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,102,0.0,-1,0.06801749565750856,0.19493147949560657,0.20405248697252568,0.06707585340848675,0.053172528743743896,0.42222048802082973,15.773309308188104,0.01,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,103,0.0,-1,0.07829981983824326,0.17569432339025162,0.23489945951472976,0.1271640823947059,0.049469590187072754,0.4231348683328328,13.890372203114694,0.015,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,104,0.0,-1,0.22354802945303612,0.6477556505853115,0.6706440883591084,0.0960824489880951,0.02152017503976822,0.8157782067040775,49.79291897425289,0.0625,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,105,0.0,-1,0.040352748401140975,0.0910769021463437,0.12105824520342294,0.11973116746931164,0.043839387595653534,0.2697234786744984,8.545359778662338,0.01,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,106,0.0,-1,0.12625385979956893,0.3252281994196617,0.3787615793987068,0.05829810418970423,0.061403609812259674,0.6528935633283898,28.42243328567977,0.02,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,107,0.0,-1,0.10619840942437785,0.3034702529962389,0.3185952282731335,0.04124401973123536,0.022809326648712158,0.5073782897477696,21.49971881364201,0.01125,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,108,0.0,-1,0.02855904442773,0.06008429727745459,0.08567713328319,0.09232878995438416,0.023291971534490585,0.2122011113229052,6.85171898887013,0.01,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,109,0.0,-1,0.08927026973512404,0.29785323812332387,0.26781080920537215,0.030303110127095825,0.033567626029253006,0.45932556503682287,22.115607402115387,0.0225,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,110,0.0,-1,0.0396825235541399,0.08759884482100082,0.1190475706624197,0.025247192240239663,0.04103732109069824,0.23620041163215538,7.417586891913527,0.01,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,111,0.0,-1,0.7428744696006171,1.4999946705162153,2.2286234088018513,0.0469236985699814,0.11209742445498705,1.556708318497196,106.00616532039584,0.1525,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,112,0.0,-1,0.05714882851879446,0.12582527862561763,0.1714464855563834,0.11910075947274397,0.04119908809661865,0.34258230549847696,6.379632080551122,0.00375,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,113,0.0,-1,0.20310703792445925,0.5990465749387858,0.6093211137733777,0.08175517931396578,0.07534003257751465,0.7253022260866372,40.92132531272249,0.05625,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,114,0.0,-1,0.02729215729843859,0.07532823760350434,0.08187647189531577,0.05098447301367551,0.08039770275354385,0.15737204736753593,2.069535210141403,0.0,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,115,0.0,-1,0.054996813053276056,0.18046231822097106,0.16499043915982817,0.02533634664076898,0.02091926336288452,0.2820948404480617,7.81934678177663,0.0025,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,116,0.0,-1,0.052203567761305414,0.13348942850411388,0.15661070328391624,0.023646640924759852,0.023762255907058716,0.29977829862348826,8.590434543217894,0.01,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,117,0.0,-1,0.07860838433500017,0.27094105354462134,0.2358251530050005,0.05950074392244404,0.10561583563685417,0.457084490471703,24.641765497331743,0.02375,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,118,0.0,-1,0.03794420841099665,0.09544916905696778,0.11383262523298995,0.11579200085022567,0.033179521560668945,0.22572859171127663,5.356535430314188,0.00625,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
ppo_continuous_hopfield_nodes1-2_final_seed_42,42,-1,PPO,119,0.0,-1,0.2420674643257876,0.6860113830659185,0.7262023929773628,0.0283694014551095,0.013293921947479248,0.7890545909648339,47.873428737517905,0.0675,nan,nan,nan,nan,1-2,full,6,2,4.0,0.0
