method,node,controller_seed,test_seed,amplitude,eta,relative_bound,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
SAC,3,123,107,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.6331554651260376, -0.5412940382957458, -0.558035135269165]","[-0.916957676410675, -0.7854737043380737, 0.4266817569732666]",0.08991429211489751,0.1942846495648371,0.2697428763446925,0.18587373316655925,0.19109314680099487,0.20340454667583666,6.0656266503278236,0.0
SAC,3,123,108,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.2364661693572998, 0.06543176621198654, 0.1095544770359993]","[-0.17992550134658813, -0.7554280757904053, 0.9981473684310913]",0.07922830795969873,0.1611971903052931,0.23768492387909618,0.1660498515875251,0.17250871658325195,0.21349702452186337,8.35456296180179,0.0
SAC,3,123,109,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.9988187551498413, 0.9677178263664246, 0.040775928646326065]","[0.3314192593097687, -0.585135817527771, 0.520487904548645]",0.0825758725555702,0.2089322965886585,0.24772761766671056,0.0754258731081162,0.025145549327135086,0.2011997354892721,8.056063495069182,0.0
SAC,3,123,110,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.10864169895648956, 0.04931486025452614, -0.4704791009426117]","[-0.871351957321167, 0.2730865180492401, -0.019966647028923035]",0.0308113731722582,0.06551652871503744,0.0924341195167746,0.08488567786314237,0.06926006823778152,0.16624444619081263,2.7952512901698356,0.0
SAC,3,123,111,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.6049723625183105, -0.32344892621040344, 0.43083447217941284]","[-0.8419704437255859, -0.16797947883605957, -0.20451059937477112]",0.0468736444820564,0.07067229040113486,0.1406209334461692,0.05571813549110551,0.008946836926043034,0.1284980060453724,3.4089010313830954,0.0
SAC,3,123,112,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.4448135197162628, -0.9011456966400146, 0.6439449191093445]","[0.9329946637153625, 0.5882050395011902, 0.9689865112304688]",0.06674107609212969,0.1793357603097701,0.20022322827638905,0.034662535678549315,0.006493579596281052,0.15698805949337166,2.876362362889074,0.0
SAC,3,123,113,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.41863173246383667, -0.023482682183384895, 0.2279641479253769]","[-0.4255177676677704, -0.7030157446861267, -0.44172894954681396]",0.06498307084582641,0.1301069824279947,0.1949492125374792,0.09927143081217821,0.05315971374511719,0.18307963749417044,2.169206207394143,0.0
SAC,3,123,114,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.7814548015594482, -0.6798140406608582, -0.9797838926315308]","[0.11529668420553207, -0.6668115258216858, -0.3657369315624237]",0.022663539396684095,0.06247772157751458,0.06799061819005228,0.012877425621551128,0.028256624937057495,0.10361433564278848,1.7268547103193528,0.0
SAC,3,123,115,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.13505227863788605, -0.6992138028144836, -0.6386840343475342]","[-0.08365152776241302, -0.7399067878723145, -0.1394127458333969]",0.035316184895455294,0.056046783874136114,0.10594855468636588,0.09754904068684504,0.18196895718574524,0.10566637640879338,2.4292349914900715,0.0
SAC,3,123,116,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.0036390621680766344, -0.36614876985549927, -0.6434957981109619]","[0.9050279259681702, 0.8802486658096313, -0.9539850950241089]",0.11359411138086638,0.2198883908683328,0.3407823341425991,0.2716592727343977,0.20872853696346283,0.23281010784710435,6.442512311549539,0.0
SAC,3,123,117,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.11515316367149353, 0.7238221168518066, -0.36945784091949463]","[-0.9954982399940491, 0.7611866593360901, 0.800013542175293]",0.0408799698069639,0.1637516737455305,0.1226399094208917,0.02039900935186004,0.00963982567191124,0.1469693047150115,6.198295645450262,0.0
SAC,3,123,118,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.7532855868339539, -0.8538441061973572, 0.6052027344703674]","[0.3583809733390808, -0.14669764041900635, -0.04589289054274559]",0.051491051364197696,0.0957171533725868,0.15447315409259307,0.05732366375418173,0.02991943433880806,0.11442834540198271,4.456910485584638,0.0
SAC,3,123,119,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.9546050429344177, -0.7296091914176941, 0.7618905305862427]","[-0.6044704914093018, 0.3422892987728119, 0.2229812741279602]",0.05035408163355727,0.11376454570545616,0.1510622449006718,0.04716675464684764,0.006020743399858475,0.15549029971001452,4.28834794987547,0.0
SAC,3,123,100,0.05,2.0,0.1,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.6200170516967773, 0.9629579782485962, -0.4305199086666107]","[0.2585463523864746, 0.16207295656204224, 0.19982454180717468]",0.11948463740485317,0.16736638511387797,0.3584539122145595,0.22513749475740355,0.09280216880142689,0.2480372556129893,5.628243334827946,0.0
SAC,3,123,101,0.05,2.0,0.1,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.550951361656189, 0.6109917163848877, 0.3617924749851227]","[-0.05787895619869232, -0.9383890628814697, 0.7895963788032532]",0.07295272816615125,0.17583931058418062,0.21885818449845376,0.10031588145612198,0.12189900875091553,0.1885627719232269,7.676279450564991,0.0
SAC,3,123,102,0.05,2.0,0.1,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.5149568915367126, -0.7814074754714966, -0.3089001476764679]","[0.5584290027618408, 0.0793050229549408, 0.8485109210014343]",0.09192341003614979,0.17888538877019938,0.27577023010844937,0.12302206181863576,0.03763812035322189,0.2047509927107509,5.336124504858512,0.0
SAC,3,123,103,0.05,2.0,0.1,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.12263999134302139, -0.037186793982982635, 0.47996628284454346]","[-0.12207181006669998, 0.919745683670044, -0.3810819089412689]",0.08272108375013544,0.15668312443467336,0.2481632512504063,0.20073339405159155,0.09081551432609558,0.34264404993699377,9.12919650096441,0.0
SAC,3,123,104,0.05,2.0,0.1,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.6484106183052063, -0.8674346804618835, 0.07659447193145752]","[0.5117452144622803, 0.6506502032279968, -0.5617742538452148]",0.18801548150743505,0.2785448187926247,0.5640464445223051,0.23670282002170512,0.11601491086184978,0.3033605709932094,9.585780819913694,0.0
SAC,3,123,105,0.05,2.0,0.1,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.42927682399749756, 0.11211804300546646, 0.4673515558242798]","[-0.602249801158905, -0.4704720079898834, -0.3490790128707886]",0.05628526563766232,0.09966015975102452,0.16885579691298697,0.15657534919403218,0.2590559124946594,0.1515930786988979,4.093221552460228,0.0
SAC,3,123,106,0.05,2.0,0.1,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.8895044922828674, 0.2718296945095062, -0.8628385663032532]","[0.9502007961273193, -0.6974973678588867, -0.4096177816390991]",0.0702196989784827,0.1389379446215882,0.2106590969354481,0.06544065653967361,0.05007794126868248,0.15560284457599136,3.2003147697656207,0.0
SAC,3,123,107,0.05,2.0,0.1,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.6331554651260376, -0.5412940382957458, -0.558035135269165]","[-0.916957676410675, -0.7854737043380737, 0.4266817569732666]",0.11611730986718376,0.21147633264747778,0.3483519296015513,0.31253959735234577,0.3251799941062927,0.2564667299798599,6.434318035634544,0.0
SAC,3,123,108,0.05,2.0,0.1,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.2364661693572998, 0.06543176621198654, 0.1095544770359993]","[-0.17992550134658813, -0.7554280757904053, 0.9981473684310913]",0.10077124509491268,0.17418950901070102,0.30231373528473804,0.29143470663715293,0.3295981287956238,0.2291717826576899,8.53024893149236,0.0
