method,node,controller_seed,test_seed,amplitude,eta,relative_bound,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
PPO,3,123,115,0.05,1.0,0.05,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.13505227863788605, -0.6992138028144836, -0.6386840343475342]","[-0.08365152776241302, -0.7399067878723145, -0.1394127458333969]",0.030599492495602378,0.04708017889290749,0.09179847748680714,0.08359336746097715,0.15120291709899902,0.09783280087388736,2.8117336837443694,0.0075
PPO,3,123,116,0.05,1.0,0.05,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.0036390621680766344, -0.36614876985549927, -0.6434957981109619]","[0.9050279259681702, 0.8802486658096313, -0.9539850950241089]",0.1040089293239841,0.21122229120408637,0.3120267879719523,0.22452641331395248,0.18857096135616302,0.23491165179647783,7.389055089097482,0.015
PPO,3,123,117,0.05,1.0,0.05,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.11515316367149353, 0.7238221168518066, -0.36945784091949463]","[-0.9954982399940491, 0.7611866593360901, 0.800013542175293]",0.044400252864199845,0.1665700242175555,0.13320075859259953,0.019018705034582518,0.01084931567311287,0.1524571262803997,8.327095319485048,0.025
PPO,3,123,118,0.05,1.0,0.05,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.7532855868339539, -0.8538441061973572, 0.6052027344703674]","[0.3583809733390808, -0.14669764041900635, -0.04589289054274559]",0.04690228832199711,0.08752333320139306,0.14070686496599133,0.046280365684472115,0.01703599840402603,0.11610922854895381,5.314009381921492,0.015
PPO,3,123,119,0.05,1.0,0.05,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.9546050429344177, -0.7296091914176941, 0.7618905305862427]","[-0.6044704914093018, 0.3422892987728119, 0.2229812741279602]",0.041195087699786276,0.10880394322576384,0.12358526309935883,0.04095694057091519,0.0028512179851531982,0.17723383529615724,7.616200910059068,0.0225
PPO,3,123,100,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.6200170516967773, 0.9629579782485962, -0.4305199086666107]","[0.2585463523864746, 0.16207295656204224, 0.19982454180717468]",0.08219852548050799,0.11750088063477665,0.24659557644152397,0.12897228797391794,0.05615520477294922,0.19303483349686845,5.710407709892388,0.015
PPO,3,123,101,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.550951361656189, 0.6109917163848877, 0.3617924749851227]","[-0.05787895619869232, -0.9383890628814697, 0.7895963788032532]",0.06420696244001425,0.16810234891973788,0.19262088732004276,0.07020817117558585,0.07542240619659424,0.18698558714786576,8.641031436137771,0.02
PPO,3,123,102,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.5149568915367126, -0.7814074754714966, -0.3089001476764679]","[0.5584290027618408, 0.0793050229549408, 0.8485109210014343]",0.07081704844986975,0.16492455237730547,0.21245114534960924,0.0770468535821563,0.024202965199947357,0.20595918191327456,8.768350636762698,0.0225
PPO,3,123,103,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.12263999134302139, -0.037186793982982635, 0.47996628284454346]","[-0.12207181006669998, 0.919745683670044, -0.3810819089412689]",0.06558226748986645,0.14405534889419574,0.19674680246959936,0.12342899921637626,0.06337818503379822,0.25985676294687365,9.778880825437,0.0275
PPO,3,123,104,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.6484106183052063, -0.8674346804618835, 0.07659447193145752]","[0.5117452144622803, 0.6506502032279968, -0.5617742538452148]",0.1351306307511226,0.2276416755134857,0.4053918922533678,0.1376853846128524,0.06209380645304918,0.24024186274350304,10.373898211879656,0.03
PPO,3,123,105,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.42927682399749756, 0.11211804300546646, 0.4673515558242798]","[-0.602249801158905, -0.4704720079898834, -0.3490790128707886]",0.03966113978165418,0.08767004875763278,0.11898341934496254,0.08856027600941835,0.1469150185585022,0.1463559385182387,6.039099994525721,0.015
PPO,3,123,106,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.8895044922828674, 0.2718296945095062, -0.8628385663032532]","[0.9502007961273193, -0.6974973678588867, -0.4096177816390991]",0.04915595095947614,0.13068460662685868,0.14746785287842842,0.03738625718131201,0.02843202743679285,0.18161573201856876,9.077146572601496,0.025
PPO,3,123,107,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.6331554651260376, -0.5412940382957458, -0.558035135269165]","[-0.916957676410675, -0.7854737043380737, 0.4266817569732666]",0.09125000408115926,0.19223973974036868,0.2737500122434778,0.18651551560119348,0.19752556085586548,0.246129595712315,9.239012729541093,0.0225
PPO,3,123,108,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.2364661693572998, 0.06543176621198654, 0.1095544770359993]","[-0.17992550134658813, -0.7554280757904053, 0.9981473684310913]",0.081427828925534,0.15802433105685773,0.24428348677660203,0.14829319365966467,0.13184481859207153,0.228765338540839,9.782521457865334,0.025
PPO,3,123,109,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.9988187551498413, 0.9677178263664246, 0.040775928646326065]","[0.3314192593097687, -0.585135817527771, 0.520487904548645]",0.0859307924990797,0.21103859352520743,0.2577923774972391,0.07547119349517205,0.028096865862607956,0.22026060891518848,9.528280952024401,0.025
PPO,3,123,110,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.10864169895648956, 0.04931486025452614, -0.4704791009426117]","[-0.871351957321167, 0.2730865180492401, -0.019966647028923035]",0.031670795727663625,0.06597379878426346,0.09501238718299089,0.08804081727601128,0.07230110466480255,0.1877558825861551,4.645382959440067,0.0125
PPO,3,123,111,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.6049723625183105, -0.32344892621040344, 0.43083447217941284]","[-0.8419704437255859, -0.16797947883605957, -0.20451059937477112]",0.04749795640350404,0.06863426344778203,0.1424938692105121,0.054712323310934466,0.009460645727813244,0.13773698832356648,4.276596556858846,0.0125
PPO,3,123,112,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.4448135197162628, -0.9011456966400146, 0.6439449191093445]","[0.9329946637153625, 0.5882050395011902, 0.9689865112304688]",0.06802794701131007,0.1783769731978531,0.2040838410339302,0.03981460488320869,0.005191005766391754,0.15594451244226065,2.457686470743356,0.0
PPO,3,123,113,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.41863173246383667, -0.023482682183384895, 0.2279641479253769]","[-0.4255177676677704, -0.7030157446861267, -0.44172894954681396]",0.06396103623429203,0.12696215155708954,0.1918831087028761,0.09187352051383552,0.05252395570278168,0.18371538039148225,2.7914840597381088,0.0025
PPO,3,123,114,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.7814548015594482, -0.6798140406608582, -0.9797838926315308]","[0.11529668420553207, -0.6668115258216858, -0.3657369315624237]",0.021946055552568396,0.06245008021948312,0.06583816665770519,0.01388958562452944,0.03363731503486633,0.10546991552349338,2.1047799175584525,0.005
PPO,3,123,115,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.13505227863788605, -0.6992138028144836, -0.6386840343475342]","[-0.08365152776241302, -0.7399067878723145, -0.1394127458333969]",0.0361570846993888,0.05501554563115096,0.10847125409816641,0.10005619140042935,0.18152767419815063,0.1099808946236773,2.8626636013616698,0.0075
PPO,3,123,116,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.0036390621680766344, -0.36614876985549927, -0.6434957981109619]","[0.9050279259681702, 0.8802486658096313, -0.9539850950241089]",0.11278158995394107,0.21741316473367703,0.3383447698618232,0.26888802114092275,0.2266551349312067,0.24769822564939886,7.585067445736292,0.015
PPO,3,123,117,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.11515316367149353, 0.7238221168518066, -0.36945784091949463]","[-0.9954982399940491, 0.7611866593360901, 0.800013542175293]",0.04531415114477308,0.16610085350189652,0.13594245343431924,0.022081528468356457,0.011444231495261192,0.161686717603992,8.33811999090909,0.025
PPO,3,123,118,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.7532855868339539, -0.8538441061973572, 0.6052027344703674]","[0.3583809733390808, -0.14669764041900635, -0.04589289054274559]",0.05209988659767996,0.09254303139110222,0.1562996597930399,0.05561247037401722,0.01995616778731346,0.12255959315376444,5.373397250058944,0.015
PPO,3,123,119,0.03,2.0,0.06,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.9546050429344177, -0.7296091914176941, 0.7618905305862427]","[-0.6044704914093018, 0.3422892987728119, 0.2229812741279602]",0.04593403183863632,0.11087488857116602,0.13780209551590897,0.04878377102683356,0.0036292262375354767,0.19121805092487065,7.618248412317801,0.0225
PPO,3,123,100,0.05,2.0,0.1,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.6200170516967773, 0.9629579782485962, -0.4305199086666107]","[0.2585463523864746, 0.16207295656204224, 0.19982454180717468]",0.12451333855143311,0.1620001350859904,0.37354001565429934,0.21560615448304166,0.09587129019200802,0.2646315382512523,6.3392960134239615,0.015
PPO,3,123,101,0.05,2.0,0.1,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.550951361656189, 0.6109917163848877, 0.3617924749851227]","[-0.05787895619869232, -0.9383890628814697, 0.7895963788032532]",0.07364193562237067,0.17293368824558175,0.22092580686711202,0.10130302396453457,0.10903003811836243,0.20278113221220134,8.64787914003603,0.0225
PPO,3,123,102,0.05,2.0,0.1,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.5149568915367126, -0.7814074754714966, -0.3089001476764679]","[0.5584290027618408, 0.0793050229549408, 0.8485109210014343]",0.09020299274367548,0.1726439574310124,0.2706089782310264,0.1241517364633856,0.03816463053226471,0.24291695963749269,9.72596768020236,0.0275
PPO,3,123,103,0.05,2.0,0.1,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.12263999134302139, -0.037186793982982635, 0.47996628284454346]","[-0.12207181006669998, 0.919745683670044, -0.3810819089412689]",0.08409198185781996,0.1559133652322526,0.2522759455734599,0.20262014948659474,0.10714927315711975,0.36093292228164536,10.577836561235898,0.0275
PPO,3,123,104,0.05,2.0,0.1,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.6484106183052063, -0.8674346804618835, 0.07659447193145752]","[0.5117452144622803, 0.6506502032279968, -0.5617742538452148]",0.18719070461436996,0.27205897029940596,0.5615721138431098,0.23165529626019207,0.10654149670153856,0.2946115431986619,10.81230806513162,0.03
PPO,3,123,105,0.05,2.0,0.1,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.42927682399749756, 0.11211804300546646, 0.4673515558242798]","[-0.602249801158905, -0.4704720079898834, -0.3490790128707886]",0.05542208801905438,0.09742919952965409,0.16626626405716313,0.15511189290770777,0.25571441650390625,0.16869216113864557,6.0557366392794165,0.015
PPO,3,123,106,0.05,2.0,0.1,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[-0.8895044922828674, 0.2718296945095062, -0.8628385663032532]","[0.9502007961273193, -0.6974973678588867, -0.4096177816390991]",0.07186848813000561,0.145915620609042,0.21560546439001685,0.06401110360007962,0.04908457398414612,0.22217974261301768,9.346480199307198,0.025
PPO,3,123,107,0.05,2.0,0.1,0,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,"[0.6331554651260376, -0.5412940382957458, -0.558035135269165]","[-0.916957676410675, -0.7854737043380737, 0.4266817569732666]",0.11729271256954023,0.2092510213753009,0.3518781377086207,0.3106018069349689,0.33365756273269653,0.29455767311051284,9.409708578763656,0.025
