method,node,controller_seed,test_seed,amplitude,eta,relative_bound,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
Fixed_k8,2,-1,115,0.03,2.0,0.06,0,deterministic,"[-0.13505227863788605, -0.6992138028144836, -0.6386840343475342]","[-0.08365152776241302, -0.7399067878723145, -0.1394127458333969]",2.775540075542797,3.7614815532298147,8.32662022662839,10.168930598247199,11.873439267277718,1.3460083188410115,43.250981284962386,0.0
Fixed_k8,2,-1,116,0.03,2.0,0.06,0,deterministic,"[0.0036390621680766344, -0.36614876985549927, -0.6434957981109619]","[0.9050279259681702, 0.8802486658096313, -0.9539850950241089]",2.6453527706185183,3.628110392085733,7.936058311855555,5.230721241530077,6.89842489361763,1.424841583072396,47.692186470733105,0.01
Fixed_k8,2,-1,117,0.03,2.0,0.06,0,deterministic,"[0.11515316367149353, 0.7238221168518066, -0.36945784091949463]","[-0.9954982399940491, 0.7611866593360901, 0.800013542175293]",3.163844441745743,4.21649913915645,9.49153332523723,8.154057965142492,8.095084384083748,1.6245626023879967,63.282383476884775,0.0
Fixed_k8,2,-1,118,0.03,2.0,0.06,0,deterministic,"[0.7532855868339539, -0.8538441061973572, 0.6052027344703674]","[0.3583809733390808, -0.14669764041900635, -0.04589289054274559]",2.8546747493225513,3.8286428268655954,8.564024247967655,8.237687131780902,7.962656259536743,1.4756080177879691,53.596845887187776,0.0025
Fixed_k8,2,-1,119,0.03,2.0,0.06,0,deterministic,"[0.9546050429344177, -0.7296091914176941, 0.7618905305862427]","[-0.6044704914093018, 0.3422892987728119, 0.2229812741279602]",3.039820762413863,4.068737169692055,9.11946228724159,8.640540386837573,8.59801098704338,1.5200044072588483,56.23380297748352,0.005
Fixed_k8,2,-1,100,0.05,2.0,0.1,0,deterministic,"[-0.6200170516967773, 0.9629579782485962, -0.4305199086666107]","[0.2585463523864746, 0.16207295656204224, 0.19982454180717468]",3.015889241625667,3.9852044238281574,9.047667724877002,8.313892169683069,7.873135104775429,1.7764641664123297,73.7436498665425,0.0025
Fixed_k8,2,-1,101,0.05,2.0,0.1,0,deterministic,"[-0.550951361656189, 0.6109917163848877, 0.3617924749851227]","[-0.05787895619869232, -0.9383890628814697, 0.7895963788032532]",2.596015938035122,3.4360357311488583,7.788047814105366,6.177108567805938,5.74449560046196,1.619625847981755,60.29545896675313,0.01
Fixed_k8,2,-1,102,0.05,2.0,0.1,0,deterministic,"[-0.5149568915367126, -0.7814074754714966, -0.3089001476764679]","[0.5584290027618408, 0.0793050229549408, 0.8485109210014343]",2.4121829598138755,3.3383509217501524,7.236548879441626,8.804960526250026,9.580614879727364,1.3382199118262217,48.48473127146631,0.0125
Fixed_k8,2,-1,103,0.05,2.0,0.1,0,deterministic,"[-0.12263999134302139, -0.037186793982982635, 0.47996628284454346]","[-0.12207181006669998, 0.919745683670044, -0.3810819089412689]",2.29340450216862,3.038188010722593,6.88021350650586,5.208343137929469,9.528712451457977,1.153483223179332,34.94443974565978,0.005
Fixed_k8,2,-1,104,0.05,2.0,0.1,0,deterministic,"[0.6484106183052063, -0.8674346804618835, 0.07659447193145752]","[0.5117452144622803, 0.6506502032279968, -0.5617742538452148]",3.05586118728901,4.007744129948285,9.16758356186703,7.681385128494398,7.823997125029564,1.8931488688301268,82.84642029925539,0.0075
