model_name,train_seed,node,method,test_seed,scenario,mismatch,pulse_step,reaching_gain,boundary_width,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,100,mismatch,0.0,-1,,,0.021083370022783838,0.11437514979352915,0.06325011006835152,0.005847835194687416,0.01441943645477295,0.08994079871739533,5.346805191828404,0.015,,
lqr_node3,-1,3,LQR,101,mismatch,0.0,-1,,,0.021931981983058874,0.07112323072638922,0.06579594594917662,6.107136285231437e-06,1.5338882803916931e-06,0.03153527588449095,0.3746481442839944,0.0,,
smc_node3,-1,3,SMC,101,mismatch,0.0,-1,2.0,0.2,0.027393779320673706,0.070242399786081,0.08218133796202112,2.0339406658837826e-05,2.3264437913894653e-06,0.037282115179491544,0.7514998853020555,0.0,,
ppo_continuous_hopfield_node3_final_seed_1024,1024,3,PPO,101,mismatch,0.0,-1,,,0.020172069844784382,0.06404164182712538,0.06051620953435315,0.0037632929218680035,0.0016558915376663208,0.049057558810621724,2.2417963484194154,0.005,,
ppo_continuous_hopfield_node3_final_seed_123,123,3,PPO,101,mismatch,0.0,-1,,,0.0217541881466512,0.0628122363856047,0.0652625644399536,0.004174860717475783,0.00826516654342413,0.054546081991413344,2.706547242498168,0.0075,,
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,101,mismatch,0.0,-1,,,0.02078209545546353,0.06274170529764508,0.06234628636639059,0.003746379799221033,0.004103393293917179,0.0536279358768701,2.7221664521977615,0.0075,,
lqr_node2,-1,2,LQR,100,mismatch,2.0,-1,,,0.16447942878304672,0.2807124474423188,0.4934382863491402,0.3726515380412708,0.06458660215139389,0.20005862927049783,6.596449297039782,0.0125,,
smc_node2,-1,2,SMC,100,mismatch,2.0,-1,2.0,0.2,0.15693066479577833,0.28297330312125335,0.470791994387335,0.2704374660036446,0.047328656539320946,0.16290236064587066,3.683347272409496,0.0,,
ppo_continuous_hopfield_node2_final_seed_1024,1024,2,PPO,100,mismatch,2.0,-1,,,0.0912359211476193,0.23960422459748434,0.2737077634428579,0.07801068038392214,0.03258253075182438,0.26880424956505433,13.91836690771286,0.035,,
ppo_continuous_hopfield_node2_final_seed_123,123,2,PPO,100,mismatch,2.0,-1,,,0.10738323772549072,0.24247293044723423,0.3221497131764722,0.12280203537141651,0.03046824410557747,0.24859987061814476,11.252089687696746,0.025,,
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,100,mismatch,2.0,-1,,,0.10460700982785222,0.24179310135435256,0.31382102948355667,0.11892387532502596,0.04379919357597828,0.25765671249376865,12.334270409683759,0.03,,
lqr_node2,-1,2,LQR,101,mismatch,2.0,-1,,,0.503728141792967,0.927616454771544,1.511184425378901,0.5672738480347174,1.0845954716205597,0.274943182418785,9.945440359062657,0.02,,
smc_node2,-1,2,SMC,101,mismatch,2.0,-1,2.0,0.2,0.5319946727135582,1.053045523289859,1.5959840181406746,0.5788040954941585,1.3201535046100616,0.2560504677287707,8.277272397040086,0.005,,
ppo_continuous_hopfield_node2_final_seed_1024,1024,2,PPO,101,mismatch,2.0,-1,,,0.48025440728850816,0.9870629449606207,1.4407632218655246,0.19432899309897128,0.19366338849067688,0.6654107239180966,37.40585021633169,0.0925,,
ppo_continuous_hopfield_node2_final_seed_123,123,2,PPO,101,mismatch,2.0,-1,,,0.4457983377204584,0.9097883383504622,1.3373950131613752,0.24661574475927117,0.31910040974617004,0.4629849454857167,22.087261211649988,0.045,,
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,101,mismatch,2.0,-1,,,0.45931972874094695,0.9198867469272245,1.3779591862228409,0.29351776792311374,0.3358220160007477,0.49221133812332984,23.635535345476427,0.0475,,
lqr_node3,-1,3,LQR,100,mismatch,2.0,-1,,,0.08613664722372023,0.12317202573191828,0.2584099416711607,0.15735894190952365,0.07257950119674206,0.17949745262660344,3.7080507685736195,0.0,,
smc_node3,-1,3,SMC,100,mismatch,2.0,-1,2.0,0.2,0.11394543873636997,0.14280345363664967,0.3418363162091099,0.350570156066506,0.16245339810848236,0.19328775243597637,4.639458698375148,0.0025,,
ppo_continuous_hopfield_node3_final_seed_1024,1024,3,PPO,100,mismatch,2.0,-1,,,0.086131341791776,0.13150462466843257,0.258394025375328,0.1411513631766731,0.07543060928583145,0.1917411873019544,6.470022830791954,0.0175,,
ppo_continuous_hopfield_node3_final_seed_123,123,3,PPO,100,mismatch,2.0,-1,,,0.08219852548050799,0.11750088063477665,0.24659557644152397,0.12897228797391794,0.05615520477294922,0.19303483349686845,5.710407709892388,0.015,,
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,100,mismatch,2.0,-1,,,0.08049552138981503,0.11487141316093376,0.24148656416944508,0.12915153080528533,0.05617023445665836,0.1901272962664131,5.450741620108416,0.015,,
lqr_node3,-1,3,LQR,101,mismatch,2.0,-1,,,0.16361405657556338,0.24571860034039805,0.49084216972669015,0.3166153891770928,0.5113940238952637,0.19624913891014165,6.716556448827912,0.0075,,
smc_node3,-1,3,SMC,101,mismatch,2.0,-1,2.0,0.2,0.19312479054316853,0.29190844881243655,0.5793743716295056,0.32193459211676206,0.6618796288967133,0.19622579648027644,7.718496801161095,0.0075,,
ppo_continuous_hopfield_node3_final_seed_1024,1024,3,PPO,101,mismatch,2.0,-1,,,0.07541568924387235,0.19227472970202253,0.226247067731617,0.05612785773880688,0.07162225246429443,0.2094304208594962,11.167174206752108,0.0325,,
ppo_continuous_hopfield_node3_final_seed_123,123,3,PPO,101,mismatch,2.0,-1,,,0.06420696244001425,0.16810234891973788,0.19262088732004276,0.07020817117558585,0.07542240619659424,0.18698558714786576,8.641031436137771,0.02,,
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,101,mismatch,2.0,-1,,,0.06327946115585535,0.16743559801652722,0.18983838346756604,0.06722634690411297,0.07487466931343079,0.17603965308006267,7.695162766950389,0.02,,
lqr_node2,-1,2,LQR,100,pulse,0.0,200,,,0.4497768556896956,1.028457961652213,1.349330567069087,0.10600737859437495,0.005836308002471924,0.17833768173108877,6.0311464180365295,0.01,15.000048637390137,2.453201316334122
smc_node2,-1,2,SMC,100,pulse,0.0,200,2.0,0.2,0.6054410488096609,1.2524181356465802,1.8163231464289826,0.14875100792190174,0.010300040245056152,0.10024273396859139,0.9212970139253782,0.0,15.000072002410889,3.346726644617408
ppo_continuous_hopfield_node2_final_seed_1024,1024,2,PPO,100,pulse,0.0,200,,,0.3597241091744778,0.9235581024512539,1.0791723275234333,0.06825267325764821,0.06020742654800415,0.2490681140425794,11.608772076043525,0.025,15.000596046447754,1.909479943433063
ppo_continuous_hopfield_node2_final_seed_123,123,2,PPO,100,pulse,0.0,200,,,0.3970023929323391,0.9502702488895598,1.1910071787970173,0.0820955997907821,0.08557325601577759,0.24617088140171958,10.80284910761014,0.02,14.993513107299805,2.115326482121513
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,100,pulse,0.0,200,,,0.4052913954153623,0.9568891614372909,1.215874186246087,0.13015732840623384,0.038045644760131836,0.3026523217187261,13.256275862827454,0.025,15.006716251373291,2.1758926722837324
lqr_node2,-1,2,LQR,101,pulse,0.0,200,,,0.4173125788516807,1.0049643381572895,1.2519377365550421,0.10006205332867893,0.005171835422515869,0.19088676341698715,6.757772733409118,0.01,15.000061988830566,2.3837467488364794
smc_node2,-1,2,SMC,101,pulse,0.0,200,2.0,0.2,0.577478610203274,1.2441691585736845,1.7324358306098218,0.14308729190609337,0.009523451328277588,0.10253822933207674,1.516453790063034,0.0,14.999945163726807,3.344524048352197
ppo_continuous_hopfield_node2_final_seed_1024,1024,2,PPO,101,pulse,0.0,200,,,0.3343149363672932,0.906879417291895,1.0029448091018796,0.06805331619847337,0.06096625328063965,0.23312894594936895,11.346509593268095,0.025,14.986528873443604,1.8721442763549994
ppo_continuous_hopfield_node2_final_seed_123,123,2,PPO,101,pulse,0.0,200,,,0.36972524112141564,0.9336373234992786,1.109175723364247,0.08129487919080773,0.08717203140258789,0.24247195567944996,11.588804428358607,0.0225,14.972460269927979,2.0742617586108656
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,101,pulse,0.0,200,,,0.3802648573828952,0.9389651642397987,1.1407945721486858,0.12908480265810165,0.039906322956085205,0.2576452674265217,10.701936628622128,0.0225,14.983872890472412,2.131897071784186
lqr_node3,-1,3,LQR,100,pulse,0.0,200,,,0.31423599850223805,0.8108263322410907,0.9427079955067141,0.060440079113583504,0.004571199417114258,0.14102298178212302,5.111250390332101,0.01,14.999873161315918,1.6792260504035808
smc_node3,-1,3,SMC,100,pulse,0.0,200,2.0,0.2,0.3522945011616394,0.8698810424945478,1.0568835034849182,0.14648208339457158,0.030694246292114258,0.12749515437968725,1.6421207117879204,0.0,15.000370502471924,1.8345166067615968
ppo_continuous_hopfield_node3_final_seed_1024,1024,3,PPO,100,pulse,0.0,200,,,0.23593904402905166,0.7590848880047916,0.707817132087155,0.02508088187487037,0.010466575622558594,0.33464456907011325,21.592737090248534,0.0625,14.998425960540771,1.2923764570324279
ppo_continuous_hopfield_node3_final_seed_123,123,3,PPO,100,pulse,0.0,200,,,0.23777845746304155,0.76223170343681,0.7133353723891247,0.025281353451219606,0.02085292339324951,0.2613073113145646,16.965666972682413,0.05,14.999324798583984,1.30433960806634
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,100,pulse,0.0,200,,,0.2383865732418997,0.7623987826692146,0.7151597197256991,0.026486888665843894,0.015577971935272217,0.24143735676112021,15.225022453429132,0.045,14.999712944030762,1.3069425992000459
lqr_node3,-1,3,LQR,101,pulse,0.0,200,,,0.3047369711651875,0.8044670945898458,0.9142109134955624,0.0620839858174692,0.00477367639541626,0.14528519830771286,5.160496203197351,0.01,15.000457286834717,1.6927138218257707
smc_node3,-1,3,SMC,101,pulse,0.0,200,2.0,0.2,0.3454625684932859,0.8773706492742589,1.0363877054798578,0.15852396502906893,0.03312724828720093,0.12086882055626759,1.621864062268879,0.0,14.999311923980713,1.9038651999252945
ppo_continuous_hopfield_node3_final_seed_1024,1024,3,PPO,101,pulse,0.0,200,,,0.2363314277717746,0.757165576474644,0.7089942833153239,0.025262790421644848,0.010797858238220215,0.2855813645959792,17.61889954697517,0.05,15.002163887023926,1.3002473057446937
ppo_continuous_hopfield_node3_final_seed_123,123,3,PPO,101,pulse,0.0,200,,,0.2397315514286328,0.7607052084464649,0.7191946542858985,0.02550259708530373,0.02068626880645752,0.21014325029217867,12.515165336809298,0.0375,15.003377914428711,1.3191875105825674
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,101,pulse,0.0,200,,,0.23996394641441157,0.7609605638216512,0.7198918392432347,0.026757236133203095,0.015652894973754883,0.20791319347081932,12.507078050229559,0.0375,15.002993106842041,1.321042125099408
