model,node,training_seed,evaluation_seed,largest_conditional_exponent,middle_conditional_exponent,smallest_conditional_exponent,largest_exponent_negative,post_burn_error_mean,post_burn_error_p95,post_burn_error_max,post_burn_action_abs_max,post_burn_action_abs_mean
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,3,-0.9375935889844423,-1.0214776204004803,-1.1604947576757547,True,0.027136238677133072,0.08064442537724971,0.1373024880886078,0.061507437378168106,0.005785084788344408
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,4,-0.8892137860538457,-1.0686603313972878,-1.1448349771100517,True,0.027649872029739384,0.08280725851655006,0.14376522600650787,0.06695257872343063,0.006002840319354283
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,5,-0.9037621807921667,-1.0746738410500485,-1.1347694591013158,True,0.02910854266564313,0.08296932391822338,0.1532043218612671,0.08953658491373062,0.00648031908822687
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,6,-0.8718776293700033,-1.091566280635683,-1.1586036774544144,True,0.027638248794246464,0.07707424350082873,0.14914026856422424,0.07125788182020187,0.006209149754753238
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,7,-0.9178644394772739,-1.0653153453419668,-1.1303422197415258,True,0.028310739759196478,0.07625605948269366,0.1479545384645462,0.0701792985200882,0.006009885855019092
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,8,-0.926899156126297,-1.0310172175640906,-1.1566381758071294,True,0.02789458689929329,0.08428997844457624,0.17540988326072693,0.13208189606666565,0.006274633397789378
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,9,-0.8846155327763383,-1.0468365155784167,-1.179368487612054,True,0.025610513005338266,0.07396329194307326,0.1285267472267151,0.05437842756509781,0.005368295725631087
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,10,-0.9178865273679474,-1.0744970807349925,-1.1379592081535508,True,0.025939619251056634,0.07169830724596973,0.13996915519237518,0.0670851394534111,0.005651920924061223
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,1,-0.5739620331311847,-6.931646027805897,-33.27145235212372,True,0.005147182794539013,0.011440211813896893,0.016265150159597397,0.023288875818252563,0.0014035066177970484
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,2,-0.5703864667332296,-6.976233902569995,-33.401807782077654,True,0.005036490213334266,0.01095653283409774,0.013705627992749214,0.011596053838729858,0.0012799661410482306
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,3,-0.5636262395189053,-7.0569400186185245,-33.353437891391415,True,0.004896047409565654,0.010531870648264885,0.014230887405574322,0.010868236422538757,0.0012437853844542253
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,4,-0.5702217708505448,-7.0116343675731985,-33.30885548423368,True,0.005045882271124834,0.010594759602099657,0.014838830567896366,0.0118551105260849,0.001321161310923727
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,5,-0.5737348771337666,-6.92089531060003,-33.11865366821501,True,0.005555148336203083,0.012881062785163521,0.03587718680500984,0.04143477976322174,0.00178085006381336
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,6,-0.5677258138515923,-7.014420297758013,-33.31485039903341,True,0.005961940964426551,0.013953660614788532,0.05375046283006668,0.047680288553237915,0.0025159994552009985
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,7,-0.5692352850734249,-7.028009048112656,-33.42535954007887,True,0.005666582909700657,0.013111683866009112,0.03861755132675171,0.033997923135757446,0.0018396331213022534
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,8,-0.5714681178318551,-6.95776030418482,-33.23632337528198,True,0.004959910867006616,0.010638936702162026,0.014222921803593636,0.011147573590278625,0.0012721733592058484
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,9,-0.5671853763583488,-7.060074906883707,-33.46418703936661,True,0.004771827447019811,0.01164187989197671,0.02070036344230175,0.0215446799993515,0.001310069247295982
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,10,-0.5572645264513046,-7.155188945278433,-33.487315148970254,True,0.004862591195177581,0.010439225612208248,0.014468122273683548,0.006950408220291138,0.001205802653965197
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,1,-0.5901369607101142,-7.16520153951428,-14.341050954805088,True,0.010845981887388534,0.02117239823564887,0.026003578677773476,0.017782095819711685,0.002311568703735247
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,2,-0.5884327340555956,-7.205549412220184,-14.384162781440518,True,0.010431013122219347,0.021530270669609306,0.024263868108391762,0.010729747824370861,0.002128571690807707
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,3,-0.5848171968869905,-7.2800960885725985,-14.323895511060243,True,0.0106848291194336,0.022041017841547727,0.024905189871788025,0.00768133532255888,0.001979708733331216
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,4,-0.5874822300945175,-7.24194544807846,-14.322019440743803,True,0.011405768673376818,0.02182979118078947,0.025697961449623108,0.008529623039066792,0.002239875975003662
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,5,-0.5899050685480917,-7.15249888576881,-14.27121442156625,True,0.011998547050017423,0.02200692724436521,0.035512518137693405,0.052405986934900284,0.0027473285925378533
