method,time,message,sent_signal,recovered_message,recovery_error,x1,y1
Linear,2.9000000000000004,0.09048270434141159,2.399052143096924,0.18826818466186523,0.09778548032045364,2.3085694313049316,2.2107839584350586
Linear,2.95,0.0770513266324997,2.3585102558135986,0.1715397834777832,0.09448845684528351,2.281458854675293,2.1869704723358154
Linear,3.0,0.05877852439880371,2.309882402420044,0.15007448196411133,0.09129595756530762,2.2511038780212402,2.1598079204559326
Linear,3.0500000000000003,0.03681245446205139,2.2541580200195312,0.12501811981201172,0.08820566534996033,2.2173454761505127,2.1291399002075195
Linear,3.1,0.012533322907984257,2.1925392150878906,0.0977468490600586,0.08521352708339691,2.1800057888031006,2.094792366027832
Linear,3.1500000000000004,-0.012533322907984257,2.1263554096221924,0.06978249549865723,0.08231581747531891,2.1388888359069824,2.056572914123535
Linear,3.2,-0.03681245446205139,2.0569663047790527,0.042696237564086914,0.0795086920261383,2.0937788486480713,2.014270067214966
Linear,3.25,-0.05877852439880371,1.9856626987457275,0.01800823211669922,0.07678675651550293,2.0444412231445312,1.9676544666290283
Linear,3.3000000000000003,-0.0770513266324997,1.9135725498199463,-0.0029069185256958008,0.0741444081068039,1.9906238317489624,1.916479468345642
Linear,3.35,-0.09048270434141159,1.8415757417678833,-0.018907666206359863,0.07157503813505173,1.9320584535598755,1.8604834079742432
Linear,3.4000000000000004,-0.09822872281074524,1.7702380418777466,-0.029157638549804688,0.06907108426094055,1.8684667348861694,1.7993956804275513
Linear,3.45,-0.09980267286300659,1.6997642517089844,-0.033179283142089844,0.06662338972091675,1.7995669841766357,1.7329435348510742
Linear,3.5,-0.09510564804077148,1.6299790143966675,-0.030884146690368652,0.06422150135040283,1.725084662437439,1.6608631610870361
Linear,3.5500000000000003,-0.08443279564380646,1.5603365898132324,-0.02257990837097168,0.06185288727283478,1.6447694301605225,1.582916498184204
Linear,3.6,-0.06845471262931824,1.4899612665176392,-0.008951544761657715,0.05950316786766052,1.5584160089492798,1.4989128112792969
Linear,3.6500000000000004,-0.04817536845803261,1.4177186489105225,0.008980751037597656,0.057156119495630264,1.4658939838409424,1.4087378978729248
Linear,3.7,-0.02486898936331272,1.3423149585723877,0.02992415428161621,0.05479314178228378,1.3671839237213135,1.3123908042907715
Linear,3.75,-7.347881115511007e-17,1.262421727180481,0.05239510536193848,0.05239510536193848,1.262421727180481,1.2100266218185425
Linear,3.8000000000000003,0.02486898936331272,1.1768145561218262,0.07481217384338379,0.04994318634271622,1.1519455909729004,1.1020023822784424
Linear,3.85,0.04817536845803261,1.0845178365707397,0.0955972671508789,0.0474218986928463,1.0363425016403198,0.9889205694198608
Linear,3.9000000000000004,0.06845471262931824,0.9849374294281006,0.11327821016311646,0.04482349753379822,0.9164827466011047,0.8716592192649841
Linear,3.95,0.08443279564380646,0.8779619336128235,0.1265851855278015,0.042152389883995056,0.7935291528701782,0.751376748085022
Linear,4.0,0.09510564804077148,0.7640128135681152,0.13453620672225952,0.03943055868148804,0.6689071655273438,0.6294766068458557
Linear,4.05,0.09980267286300659,0.6440297365188599,0.13650280237197876,0.03670012950897217,0.5442270636558533,0.5075269341468811
Linear,4.1000000000000005,0.09822872281074524,0.5193897485733032,0.1322495937347412,0.03402087092399597,0.4211609959602356,0.387140154838562
Linear,4.15,0.09048270434141159,0.3917798399925232,0.12194502353668213,0.03146231919527054,0.301297128200531,0.26983481645584106
Linear,4.2,0.0770513266324997,0.26305675506591797,0.10614366829395294,0.029092341661453247,0.18600544333457947,0.15691308677196503
Linear,4.25,0.05877852439880371,0.13512587547302246,0.08574342727661133,0.026964902877807617,0.07634735107421875,0.04938244819641113
Linear,4.3,0.03681245446205139,0.009858733043074608,0.06192488968372345,0.025112435221672058,-0.026953721418976784,-0.05206615850329399
Linear,4.3500000000000005,0.012533322907984257,-0.1109536662697792,0.03607765585184097,0.02354433387517929,-0.12348698824644089,-0.14703132212162018
Linear,4.4,-0.012533322907984257,-0.22562794387340546,0.009717032313346863,0.022250354290008545,-0.21309462189674377,-0.23534497618675232
Linear,4.45,-0.03681245446205139,-0.3326135575771332,-0.015606105327606201,0.02120634913444519,-0.2958011031150818,-0.317007452249527
Linear,4.5,-0.05877852439880371,-0.4305263161659241,-0.03839787840843201,0.020380645990371704,-0.37174779176712036,-0.39212843775749207
Linear,4.55,-0.0770513266324997,-0.5181925892829895,-0.05731239914894104,0.019738927483558655,-0.441141277551651,-0.46088019013404846
Linear,4.6000000000000005,-0.09048270434141159,-0.5946992039680481,-0.07123512029647827,0.01924758404493332,-0.5042164921760559,-0.5234640836715698
Linear,4.65,-0.09822872281074524,-0.6594414710998535,-0.07935279607772827,0.018875926733016968,-0.5612127184867859,-0.5800886750221252
Linear,4.7,-0.09980267286300659,-0.7121619582176208,-0.08120524883270264,0.018597424030303955,-0.6123592853546143,-0.6309567093849182
Linear,4.75,-0.09510564804077148,-0.7529739737510681,-0.07671678066253662,0.018388867378234863,-0.6578683257102966,-0.6762571930885315
Linear,4.800000000000001,-0.08443279564380646,-0.782364010810852,-0.06620138883590698,0.018231406807899475,-0.6979312300682068,-0.7161626219749451
Linear,4.8500000000000005,-0.06845471262931824,-0.8011730909347534,-0.05034530162811279,0.018109411001205444,-0.7327184081077576,-0.7508277893066406
