model_name,train_seed,node,method,test_seed,mismatch,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
linear_gain_8,-1,3,Linear,108,0.0,-1,0.04472725455176375,0.1487072932793692,0.13418176365529125,1.8942189966270954e-05,8.143484592437744e-06,0.04699884547487347,0.5018665375729888,0.0
lqr_node3_q1_r1,-1,3,LQR,108,0.0,-1,0.04965967278077336,0.13999504376196506,0.14897901834232008,1.717667831222952e-05,2.566725015640259e-06,0.05804107062962523,0.8577644668467514,0.0
zero_input,-1,3,Zero Input,108,0.0,-1,1.2543688505262458,1.6328543602987722,3.7631065515787374,2.44482383729867,2.8896985054016113,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,109,0.0,-1,0.03387185643989893,0.1108555277033549,0.1016155693196968,4.193404068549474e-05,1.1994503438472748e-05,0.11105232832586379,4.986510397228496,0.0125
lqr_node3_q1_r1,-1,3,LQR,109,0.0,-1,0.04211537699824383,0.1653802798830269,0.1263461309947315,8.086754400053142e-06,1.6614794731140137e-06,0.07320570105549759,2.0190849158818307,0.0
zero_input,-1,3,Zero Input,109,0.0,-1,0.9206057174776929,1.2961524079992337,2.761817152433079,1.5211677220132616,1.5564788579940796,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,110,0.0,-1,0.044841820740505606,0.1346233266213161,0.13452546222151682,7.424156330985788e-05,9.98377799987793e-06,0.0735172650955636,1.2035226626332696,0.0
lqr_node3_q1_r1,-1,3,LQR,110,0.0,-1,0.04464037567110003,0.12429352974879838,0.13392112701330008,2.9372545764034178e-05,9.998679161071777e-06,0.09236313689392378,1.6380401644283127,0.0
zero_input,-1,3,Zero Input,110,0.0,-1,1.1549123730820139,1.5074629907714965,3.464737119246042,3.6708014234900475,0.7916575521230698,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,111,0.0,-1,0.07882400245951715,0.250360506397263,0.23647200737855145,2.690655305797671e-05,9.081326425075531e-06,0.14100236471328986,6.47547202408995,0.0125
lqr_node3_q1_r1,-1,3,LQR,111,0.0,-1,0.08090633206166821,0.23414554851295596,0.24271899618500462,3.2863056540121265e-05,3.1655654311180115e-06,0.15658748115497237,7.560813892188297,0.0125
zero_input,-1,3,Zero Input,111,0.0,-1,1.884272232170953,2.5623651158855454,5.652816696512859,2.8140771912617817,0.4234291836619377,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,112,0.0,-1,0.08092000360963734,0.22408597532605146,0.24276001082891205,0.00012229397364052724,3.8743019104003906e-05,0.1621677866600398,4.676281828454406,0.0025
lqr_node3_q1_r1,-1,3,LQR,112,0.0,-1,0.08328375091206465,0.23855816589835227,0.24985125273619396,7.195117090035367e-05,1.2516975402832031e-05,0.12277589479948883,1.759222042264322,0.0
zero_input,-1,3,Zero Input,112,0.0,-1,1.4550821192300138,2.010703858697085,4.365246357690041,2.8863927224352035,3.5848658084869385,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,113,0.0,-1,0.055289700648616553,0.1948556599583689,0.16586910194584964,3.5573383448300536e-05,5.841255187988281e-06,0.15774255941745052,7.981819935421297,0.02
lqr_node3_q1_r1,-1,3,LQR,113,0.0,-1,0.0750200633065665,0.2553852976759874,0.22506018991969953,1.241271326571335e-05,3.7550926208496094e-06,0.11507058362604629,4.500354956851122,0.0075
zero_input,-1,3,Zero Input,113,0.0,-1,1.2788757888673001,1.7288971445515444,3.8366273666019004,2.7911294144980703,3.8405423164367676,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,114,0.0,-1,0.03781834119845318,0.11927139204819237,0.11345502359535954,2.429147975312339e-05,1.1786818504333496e-05,0.08018197692196788,1.8947755154623334,0.0
lqr_node3_q1_r1,-1,3,LQR,114,0.0,-1,0.04021508085014219,0.12324448017786538,0.12064524255042659,1.8574550379941494e-05,2.682209014892578e-06,0.059571087089125854,0.6464156580520828,0.0
