model_name,train_seed,node,method,test_seed,mismatch,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
linear_gain_8,-1,2,Linear,19,0.0,-1,3.2192698867955953,4.26198253314361,9.657809660386787,8.564327442719613,8.23112778365612,1.6872146298314568,68.4671785211448,0.0075
lqr_node2_q1_r1,-1,2,LQR,19,0.0,-1,0.1311973507432089,0.463348739840153,0.3935920522296267,0.0,0.0,0.1850803798568941,10.90927211404913,0.025
zero_input,-1,2,Zero Input,19,0.0,-1,1.8340287286593135,2.5208667185386053,5.502086185977941,2.2395678561318806,0.3487289547920227,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,0,0.0,-1,0.04888944252427429,0.21152678367547834,0.14666832757282286,2.4612809036984857e-05,6.109476089477539e-06,0.1192277754352723,5.804397745350839,0.015
lqr_node3_q1_r1,-1,3,LQR,0,0.0,-1,0.07331845787503227,0.25165256630005656,0.21995537362509684,2.1037312201511712e-05,3.5762786865234375e-06,0.09182299070084696,3.02781854936637,0.0025
zero_input,-1,3,Zero Input,0,0.0,-1,0.9967275612793262,1.4163027199801803,2.9901826838379786,1.9118748735866429,1.2849585860967636,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,1,0.0,-1,0.03403241979596937,0.11863834241019634,0.1020972593879081,1.1506179968516031e-05,3.5623088479042053e-06,0.10052234227966489,4.498751666508151,0.005
lqr_node3_q1_r1,-1,3,LQR,1,0.0,-1,0.036757555280843825,0.1179671402775602,0.11027266584253148,1.383481984153206e-05,1.4975666999816895e-06,0.1114119147332304,5.156534489536767,0.005
zero_input,-1,3,Zero Input,1,0.0,-1,1.085276100352555,1.6450999449620376,3.2558283010576656,2.1833160937200358,0.6975239515304565,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,2,0.0,-1,0.01755480038615467,0.058665628442328914,0.052664401158464005,6.93348673298771e-06,2.9802322387695312e-06,0.04570730307030299,0.7671782988721185,0.0
lqr_node3_q1_r1,-1,3,LQR,2,0.0,-1,0.018816910138514734,0.05763285056244866,0.056450730415544194,7.57529733725536e-06,8.568167686462402e-07,0.05133907011096179,0.9792704684388325,0.0
zero_input,-1,3,Zero Input,2,0.0,-1,1.1133860512044365,1.534986555000631,3.3401581536133094,1.82348893178098,0.6441424787044525,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,3,0.0,-1,0.020918084569979872,0.10147698605639062,0.06275425370993962,4.231136430192877e-07,3.166496753692627e-08,0.043635744894123134,2.1816885593440367,0.005
lqr_node3_q1_r1,-1,3,LQR,3,0.0,-1,0.029289419552216853,0.12427962070721137,0.08786825865665056,2.288064103067657e-08,0.0,0.03509868032664383,0.8574792380580109,0.0
zero_input,-1,3,Zero Input,3,0.0,-1,0.1423048972692542,0.2863387195371175,0.4269146918077626,0.0686147695487756,0.0321198683232069,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,4,0.0,-1,0.025902475544181295,0.11353509525466675,0.07770742663254389,1.484627927435033e-05,7.554888725280762e-06,0.09399457376794611,5.706039341455964,0.015
lqr_node3_q1_r1,-1,3,LQR,4,0.0,-1,0.037694802931578134,0.1271279935591765,0.1130844087947344,7.321115261242713e-06,1.6987323760986328e-06,0.07830751712984799,3.7426569832966177,0.005
zero_input,-1,3,Zero Input,4,0.0,-1,1.26960050226255,1.7485089348068716,3.80880150678765,2.155923476557673,2.0543696582317352,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,5,0.0,-1,0.08237006063035017,0.25332416737763536,0.2471101818910505,3.320304101999895e-05,1.1965632438659668e-05,0.12164230408736892,3.240311923547089,0.0
lqr_node3_q1_r1,-1,3,LQR,5,0.0,-1,0.0756414516721345,0.22938990453301492,0.2269243550164035,3.699071843315054e-05,3.594905138015747e-06,0.11606802796358241,2.6107114806757536,0.0
zero_input,-1,3,Zero Input,5,0.0,-1,1.8563029397749717,2.5240934998126785,5.568908819324915,3.104694212982316,0.5108253657817841,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,6,0.0,-1,0.0649955219798973,0.1730498996839116,0.19498656593969188,0.00013223180064448603,1.884251832962036e-05,0.1442933838786627,3.6461275428303006,0.0025
lqr_node3_q1_r1,-1,3,LQR,6,0.0,-1,0.05372357669968471,0.16867020479388095,0.1611707300990541,3.8842636126059073e-05,1.3977289199829102e-05,0.09695802262661316,1.1495974474911326,0.0
zero_input,-1,3,Zero Input,6,0.0,-1,1.3787031092859823,1.893499583193926,4.136109327857947,2.434107704662982,1.4785065054893494,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,7,0.0,-1,0.07393757551300773,0.21257044037768918,0.22181272653902318,6.82932405192175e-05,2.682209014892578e-05,0.12374116740006015,2.5968887067762805,0.0
lqr_node3_q1_r1,-1,3,LQR,7,0.0,-1,0.0659188138125952,0.19129005440991703,0.19775644143778562,4.1591095519654546e-05,5.662441253662109e-06,0.1376786571434518,3.667833736237693,0.0
zero_input,-1,3,Zero Input,7,0.0,-1,1.571412362295326,2.182749837479985,4.714237086885978,2.1809714356966223,2.3222282230854034,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,8,0.0,-1,0.01107429595434216,0.059223744162583664,0.03322288786302648,1.347181099800416e-06,4.1211023926734924e-07,0.017794330541666903,0.2999401674547428,0.0
lqr_node3_q1_r1,-1,3,LQR,8,0.0,-1,0.011579065035536254,0.05611546046849227,0.03473719510660876,2.265324310204129e-06,2.444721758365631e-07,0.016450425950909876,0.1827621425918122,0.0
zero_input,-1,3,Zero Input,8,0.0,-1,0.06758958159025422,0.10614369274053674,0.20276874477076262,0.27575621021520574,0.02842568699270487,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,9,0.0,-1,0.029124951016015418,0.0961196663649987,0.08737485304804625,0.00015851914491734386,2.2757798433303833e-05,0.06939165760760667,1.9835029029353628,0.0025
lqr_node3_q1_r1,-1,3,LQR,9,0.0,-1,0.04273961070959448,0.11786785134199204,0.12821883212878343,2.0789660881330937e-05,5.289912223815918e-06,0.040849250403424554,0.27907872143242374,0.0
zero_input,-1,3,Zero Input,9,0.0,-1,0.9321162049547891,1.2653408219547653,2.796348614864367,3.9928425914711423,2.4095193445682526,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,10,0.0,-1,0.031060571440496326,0.1474910632380386,0.09318171432148897,2.502828813445421e-06,1.0766088962554932e-06,0.11496393879099825,7.8585323017358295,0.0225
lqr_node3_q1_r1,-1,3,LQR,10,0.0,-1,0.03989147123675917,0.15587900343615338,0.11967441371027752,3.0769173193860937e-06,3.6135315895080566e-07,0.10157106747324601,6.348871035839773,0.015
zero_input,-1,3,Zero Input,10,0.0,-1,1.564050753691473,2.1543035996543307,4.692152261074419,2.09897063985283,3.9701892733573914,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,11,0.0,-1,0.03974606350303495,0.1309307941426777,0.11923819050910485,5.181520073502152e-05,1.4126300811767578e-05,0.09240622002807936,3.7389355216404727,0.005
lqr_node3_q1_r1,-1,3,LQR,11,0.0,-1,0.04035790822722625,0.12458313286025587,0.12107372468167873,1.680998154628424e-05,4.649162292480469e-06,0.10186731225583723,3.6161252482668163,0.0025
zero_input,-1,3,Zero Input,11,0.0,-1,0.8897294727984757,1.1745028736013858,2.6691884183954273,2.0426599200309057,3.9529396295547485,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,12,0.0,-1,0.04323293507588425,0.14119295674399582,0.12969880522765276,1.5599716362761863e-05,4.94346022605896e-06,0.07327315186213079,1.487918641280622,0.0
lqr_node3_q1_r1,-1,3,LQR,12,0.0,-1,0.04614347278729626,0.13733103739513203,0.1384304183618888,1.9286529241520683e-05,1.6614794731140137e-06,0.09100156912188057,2.617297211522775,0.0
zero_input,-1,3,Zero Input,12,0.0,-1,1.2760420025125803,1.6774159577858114,3.828126007537741,3.474922055079613,0.9374866485595703,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,13,0.0,-1,0.0959730253222763,0.2792043242314169,0.2879190759668289,0.00017118466627082706,3.670156002044678e-05,0.15518450134078463,4.012341312695217,0.0
lqr_node3_q1_r1,-1,3,LQR,13,0.0,-1,0.09397409998108064,0.26163283350673366,0.2819222999432419,5.5262232544245545e-05,9.000301361083984e-06,0.18285919082436272,6.153768654579672,0.005
zero_input,-1,3,Zero Input,13,0.0,-1,1.3459963866494788,1.9755051654170053,4.037989159948436,2.189617578998024,1.162385642528534,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,14,0.0,-1,0.02413900800731346,0.07440528620325827,0.07241702402194038,5.964834220063539e-05,1.683831214904785e-05,0.05278090303043772,1.1450782475555652,0.0
lqr_node3_q1_r1,-1,3,LQR,14,0.0,-1,0.02740050405923878,0.07325314481772688,0.08220151217771633,1.8968580313670783e-05,3.119930624961853e-06,0.05873021649866908,1.3320416693341068,0.0
zero_input,-1,3,Zero Input,14,0.0,-1,1.289125361759293,1.8963893147518611,3.867376085277879,3.5578150356441367,2.8292636573314667,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,15,0.0,-1,0.043237998920584955,0.14328388669185477,0.12971399676175485,1.5076359067066217e-05,5.827285349369049e-06,0.06067169030333992,1.2983041993348488,0.0
