method,controlled_nodes,num_control_inputs,node,controller_seed,test_seed,scenario,mismatch,noise_std,pulse_step,observation_dim,action_limit,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error
Linear,3,1,3,-1,101,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[-0.550951361656189, 0.6109917163848877, 0.3617924749851227]","[-0.05787895619869232, -0.9383890628814697, 0.7895963788032532]",0.07985751251190752,0.19158355088822554,0.23957253753572255,0.05141592090144569,0.050202369689941406,0.1673928625751612,5.829018468666682,0.0,,
Linear,3,1,3,-1,102,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[-0.5149568915367126, -0.7814074754714966, -0.3089001476764679]","[0.5584290027618408, 0.0793050229549408, 0.8485109210014343]",0.08140130512550293,0.1806227357101269,0.24420391537650882,0.09481935195026943,0.0324925035238266,0.18131547819293498,6.154250790293733,0.0125,,
Linear,3,1,3,-1,103,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[-0.12263999134302139, -0.037186793982982635, 0.47996628284454346]","[-0.12207181006669998, 0.919745683670044, -0.3810819089412689]",0.071021190202692,0.15801393339414677,0.21306357060807601,0.12400018023671927,0.07345163822174072,0.19300741332576163,5.918487164489154,0.015,,
Linear,3,1,3,-1,104,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[0.6484106183052063, -0.8674346804618835, 0.07659447193145752]","[0.5117452144622803, 0.6506502032279968, -0.5617742538452148]",0.12109371624284689,0.23008519532412694,0.3632811487285406,0.13185226892546556,0.0756822475232184,0.18440472657915363,6.621321713185484,0.015,,
Linear,3,1,3,-1,105,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[-0.42927682399749756, 0.11211804300546646, 0.4673515558242798]","[-0.602249801158905, -0.4704720079898834, -0.3490790128707886]",0.04256911558220635,0.09387187756353736,0.12770734674661904,0.0848147295139454,0.15875208377838135,0.11263636355648314,3.2574867679102493,0.005,,
Linear,3,1,3,-1,106,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[-0.8895044922828674, 0.2718296945095062, -0.8628385663032532]","[0.9502007961273193, -0.6974973678588867, -0.4096177816390991]",0.04918541804744521,0.12515416706035684,0.1475562541423356,0.03915566779431646,0.03392242360860109,0.1041750954464078,2.8750020946570536,0.0,,
Linear,3,1,3,-1,107,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[0.6331554651260376, -0.5412940382957458, -0.558035135269165]","[-0.916957676410675, -0.7854737043380737, 0.4266817569732666]",0.10818473758727176,0.21720149988233092,0.3245542127618153,0.15651014727758772,0.14768129587173462,0.17244099871141655,4.681908129060578,0.01,,
Linear,3,1,3,-1,108,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[0.2364661693572998, 0.06543176621198654, 0.1095544770359993]","[-0.17992550134658813, -0.7554280757904053, 0.9981473684310913]",0.11078973045047753,0.20202100811778387,0.3323691913514326,0.17039667479233978,0.23232495784759521,0.19781997008365287,6.306752665356697,0.0125,,
Linear,3,1,3,-1,109,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[0.9988187551498413, 0.9677178263664246, 0.040775928646326065]","[0.3314192593097687, -0.585135817527771, 0.520487904548645]",0.0918716078251368,0.2417657936116446,0.2756148234754104,0.07760456072764448,0.036958958953619,0.174872375100368,5.58219265769291,0.0,,
Linear,3,1,3,-1,110,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[-0.10864169895648956, 0.04931486025452614, -0.4704791009426117]","[-0.871351957321167, 0.2730865180492401, -0.019966647028923035]",0.03584386915892072,0.07014090528939791,0.10753160747676214,0.10008749363794463,0.07061511278152466,0.11117948673925644,1.1894208011018748,0.0,,
Linear,3,1,3,-1,111,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[-0.6049723625183105, -0.32344892621040344, 0.43083447217941284]","[-0.8419704437255859, -0.16797947883605957, -0.20451059937477112]",0.04271897621834472,0.06299224237496184,0.12815692865503417,0.06490041394028123,0.008846906013786793,0.10086746354520024,2.5958960657327896,0.005,,
Linear,3,1,3,-1,112,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[0.4448135197162628, -0.9011456966400146, 0.6439449191093445]","[0.9329946637153625, 0.5882050395011902, 0.9689865112304688]",0.06788468417318279,0.17998392543018216,0.20365405251954838,0.04728646349322833,0.0024498924612998962,0.13726538354693504,1.9696642318519606,0.0,,
Linear,3,1,3,-1,113,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[0.41863173246383667, -0.023482682183384895, 0.2279641479253769]","[-0.4255177676677704, -0.7030157446861267, -0.44172894954681396]",0.06985933532557471,0.13976525566908468,0.20957800597672413,0.09102361763678031,0.05180414021015167,0.1513828845820076,3.0057146383400184,0.005,,
Linear,3,1,3,-1,114,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[-0.7814548015594482, -0.6798140406608582, -0.9797838926315308]","[0.11529668420553207, -0.6668115258216858, -0.3657369315624237]",0.023597445166518825,0.06440581462065434,0.07079233549955646,0.011019015612862544,0.018549665808677673,0.09638979456426942,2.178502461449455,0.0025,,
Linear,3,1,3,-1,115,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[-0.13505227863788605, -0.6992138028144836, -0.6386840343475342]","[-0.08365152776241302, -0.7399067878723145, -0.1394127458333969]",0.03652878696290917,0.050175247309463634,0.10958636088872752,0.10155016194201177,0.16404175758361816,0.07972213695582904,1.559204369682929,0.0,,
Linear,3,1,3,-1,116,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[0.0036390621680766344, -0.36614876985549927, -0.6434957981109619]","[0.9050279259681702, 0.8802486658096313, -0.9539850950241089]",0.11869936218719035,0.2605084081436896,0.35609808656157105,0.2365327436522937,0.21673952415585518,0.1609186754002238,3.1607221120162077,0.0,,
