scenario,node,method,mismatch,num_runs,num_controller_seeds,mae_mean,mae_std,rmse_mean,rmse_std,steady_l1_mean,steady_l1_std,final_l1_mean,final_l1_std,energy_u_mean,energy_u_std,saturation_fraction_mean,saturation_fraction_std,max_post_pulse_mean,max_post_pulse_std,mean_post_pulse_error_mean,mean_post_pulse_error_std
mismatch,3,PPO,0.0,60,3,0.043139548069812954,0.01867933968570276,0.1433610145672869,0.053300065357605994,0.009091709084647619,0.0060853665037896194,0.009053153715406855,0.00767148380241214,6.535917017098632,3.090089849534746,0.016833333333333332,0.009977375536626356,,,,
mismatch,3,PPO,0.5,60,3,0.04389606595617928,0.021498620921483313,0.12790195685561936,0.05812923433379326,0.026017381306478963,0.015066423529654645,0.020780337310861798,0.016704794263131744,6.278248480778987,2.5989532120792544,0.016166666666666666,0.008392726202334057,,,,
mismatch,3,PPO,1.0,60,3,0.0505829717861873,0.023030337512756203,0.13033787786978687,0.05690249023610382,0.048701968648060846,0.030209538343851237,0.03825504231499508,0.0338146861098031,6.306250708861681,2.608724092814828,0.016166666666666666,0.008392726202334057,,,,
mismatch,3,PPO,1.5,60,3,0.057894282997158424,0.025336323466752887,0.13409994266347167,0.05565197772443735,0.07200495839289507,0.045841081060494816,0.05615840892617901,0.05132057533700593,6.363742490639481,2.6224221235154808,0.016291666666666666,0.008493413034331453,,,,
mismatch,3,PPO,2.0,60,3,0.06558921886451075,0.02816991379733895,0.13893422913720385,0.05477046131270284,0.09547352081240411,0.06159952473416222,0.07444617070723325,0.0690021313806549,6.440593860340473,2.626178898785275,0.016291666666666666,0.008493413034331453,,,,
mismatch,3,SMC,0.0,20,1,0.07279484952270736,0.04148978200076096,0.18972410096653686,0.08865435024760893,5.0251165700984405e-05,6.190625198606624e-05,6.5211672335863115e-06,1.2870075960148152e-05,4.595304947756912,2.7432540043176443,0.011375,0.008369548500681692,,,,
mismatch,3,SMC,0.5,20,1,0.0747611176352284,0.03920470850545695,0.16436059389079105,0.08302405927446749,0.06884517609156138,0.04568862737986316,0.06105133756063878,0.06828276304047817,5.630324533595767,2.462000363020953,0.015000000000000003,0.007947194142390262,,,,
mismatch,3,SMC,1.0,20,1,0.0911633160914018,0.041728982771092625,0.17423058346522668,0.07954876088051582,0.1361319535390336,0.0874245936267236,0.12118061892688274,0.1358308977362312,5.661833548474083,2.45870699052238,0.015000000000000003,0.007947194142390262,,,,
mismatch,3,SMC,1.5,20,1,0.10813615728779916,0.0454398208140417,0.18743528160311168,0.07678183973038052,0.2019474297271823,0.12579100435531568,0.18018956566229463,0.2026202039323972,5.725813711305056,2.4551187093472606,0.014875000000000003,0.00792543374207368,,,,
mismatch,3,SMC,2.0,20,1,0.12567127208228912,0.05002833740399885,0.20291515502755547,0.07546061080571802,0.26646636577242594,0.16162646477650844,0.2379277770407498,0.2687467357962166,5.823056853028165,2.4520672670145807,0.014875000000000003,0.00792543374207368,,,,
pulse,2,LQR,0.0,20,1,0.512808724821127,0.07673897415503445,1.1046032711633855,0.08713812142096913,0.10445511541214345,0.004074594445734383,0.00577290952205658,0.000670309772003484,9.94553733412081,3.231542568180781,0.016750000000000004,0.007992595257322144,14.999994134902954,0.00015872545959231746,2.526399782483712,0.20251931780655033
pulse,2,Linear,0.0,20,1,2.05263315960432,0.3511136977794002,2.846273554553303,0.38360028626316295,2.8840238949766865,0.036414072056714396,4.820074908435345,0.09137056458005582,9.834256345497206,2.587130684434285,0.0,0.0,16.15875506401062,0.8285404936684627,7.4286679981878745,0.9050296024754886
pulse,2,PPO,0.0,60,3,0.43392935580179215,0.07583319871488314,1.011846035232462,0.08776240383736743,0.09255125742815741,0.02646182355592665,0.06219498415788015,0.019539579842497757,17.514481254191473,6.454502124903507,0.03900000000000001,0.018023054915151767,14.993032320340474,0.009280361549811173,2.0800327339934173,0.14026813210279201
pulse,2,SMC,0.0,20,1,0.5644276468809187,0.08179038457941447,1.1542709776401108,0.08781357362244707,0.1537663561953117,0.0041567316729861255,0.011633399128913879,0.0006786418554195511,14.12661016612106,4.0265249335025945,0.034625,0.01203817939548563,14.999708795547486,0.0012502848040703795,2.7691377961880703,0.22698438135048304
pulse,3,LQR,0.0,20,1,0.33302821402596405,0.020275812088153343,0.816850190626673,0.01094077499203481,0.06154220421269628,0.0016201483640245393,0.004709753394126892,0.00016922567597960425,7.494004499735334,2.2717864640563366,0.012375,0.004403572114592998,14.99997262954712,0.0016704615070079769,1.688340158566638,0.017720695956597518
pulse,3,Linear,0.0,20,1,0.24857124998586938,0.019114677386103663,0.763374225610513,0.011281367386399307,0.02164339577997632,0.0003753223678803773,0.003756070137023926,6.861767018977153e-05,18.383666433466075,2.5511180320303484,0.05162500000000001,0.008361684229740726,14.999871110916137,0.0038450330287904152,1.240272310773022,0.015928356198062397
pulse,3,PPO,0.0,60,3,0.25809529545536397,0.018667103351896617,0.7665922299136722,0.010676797001017969,0.025739931325148405,0.0006855621469364494,0.015736234188079835,0.004135316279721139,18.093363393441482,4.345953173835535,0.051666666666666666,0.013829061351122402,15.000114790598552,0.002970739730678036,1.296878887115241,0.018991348276383276
pulse,3,SMC,0.0,20,1,0.3625993185225537,0.04089664901845883,0.8236559420980614,0.021293000454564354,0.1381210080658396,0.005488043970579376,0.029167261719703675,0.0010445791916232968,11.373059758058938,2.7991058513408085,0.029874999999999995,0.00871609974339682,14.99983615875244,0.001193061248590776,1.7352260709337113,0.028296209693299667
