method,controlled_nodes,scenario,mismatch,noise_std,controller_seed,mae,rmse,steady_l1,final_l1,energy_u,saturation_fraction,mean_post_pulse_error
PPO,2,noise,0.0,0.02,123,0.15154178875438665,0.3158821024410042,0.21625227042399114,0.2190795116825029,20.48006925565114,0.019375,
PPO,2,noise,0.0,0.02,1024,0.1477078600111214,0.31780019790110836,0.19350016859509508,0.19885700251907107,51.415583009620846,0.033,
PPO,2,noise,0.0,0.05,42,0.2701784064931909,0.4279449581753065,0.5539278771619048,0.5409932720474899,176.73822024824324,0.367,
PPO,2,noise,0.0,0.05,123,0.2691445913400767,0.42614803102258403,0.5520802070001531,0.5294462483376264,81.78983551977913,0.07025,
PPO,2,noise,0.0,0.05,1024,0.2612999742410644,0.42351550040645314,0.5090228076033972,0.4979077475145459,148.17438075982474,0.2555,
PPO,2,nominal,0.0,0.0,42,0.09342640778757216,0.28517625797198976,0.0423163866172228,0.033885637298226315,9.26914526254525,0.020999999999999998,
PPO,2,nominal,0.0,0.0,123,0.09500311713979549,0.2852163745304077,0.055722091960243504,0.04904611250385636,7.474043226954673,0.018125,
PPO,2,nominal,0.0,0.0,1024,0.09056486192673978,0.2885846391185062,0.029611612229613705,0.021148811746388635,10.522880111408595,0.026375,
PPO,2,pulse,0.0,0.0,42,0.45224452449774477,1.0212065948229703,0.12885010540025466,0.03922694623470301,17.006430317083783,0.037,2.1871534698117476
PPO,2,pulse,0.0,0.0,123,0.44351808777486773,1.0189181908578608,0.0808729106140679,0.08657939434051509,16.657857866959247,0.03575,2.1380656857231157
PPO,2,pulse,0.0,0.0,1024,0.4060254551327639,0.9954133200165549,0.06793075627014955,0.060778611898422194,18.879155578531385,0.04425,1.9148790464453882
PPO,2-3,nominal,0.0,0.0,42,0.019480955951331987,0.09751918450040879,0.01116466076723381,0.010248803021386204,8.143623461250941,0.01075,
PPO,2-3,nominal,0.0,0.0,123,0.020355297760038353,0.09800368776354568,0.012434098951483985,0.012752491165883784,7.880887011756061,0.010562499999999999,
PPO,2-3,nominal,0.0,0.0,1024,0.021655989489639503,0.09729435362965,0.018711604080292245,0.017838251846842425,8.427673155397589,0.010875,
PPO,3,mismatch,0.5,0.0,42,0.04239234751615287,0.1251882943829919,0.02486296414159072,0.019236263586208176,5.969812699921098,0.01525,
PPO,3,mismatch,0.5,0.0,123,0.04363676875112427,0.1265338034549331,0.026941108403520403,0.021080227231141124,6.594107361232926,0.01725,
PPO,3,mismatch,0.5,0.0,1024,0.04565908160126057,0.131983772728933,0.026248071374325603,0.022024521115235934,6.270825381182935,0.016,
PPO,3,mismatch,1.0,0.0,42,0.04901871146983655,0.12762353494727338,0.04719442499910741,0.03617885722778733,6.003635398980917,0.01525,
PPO,3,mismatch,1.0,0.0,123,0.05000894937504787,0.12890956952383092,0.048100028385948575,0.037230825400911216,6.615161419279312,0.01725,
PPO,3,mismatch,1.0,0.0,1024,0.052721254513677304,0.1344805291382562,0.050811452559126426,0.04135544431628654,6.299955308324813,0.016,
PPO,3,mismatch,1.5,0.0,42,0.056229873645536985,0.13139515409736627,0.0699355891399821,0.05346925859339531,6.06759901600154,0.0155,
PPO,3,mismatch,1.5,0.0,123,0.057072165792435126,0.13258616419860061,0.07038955437996777,0.05402710703201587,6.666446802668804,0.017249999999999998,
PPO,3,mismatch,1.5,0.0,1024,0.060380809553503036,0.13831850969444798,0.07568973165873527,0.060978861153125716,6.357181653248103,0.016125,
PPO,3,mismatch,2.0,0.0,42,0.06381593394792476,0.1362377473490676,0.09283722014580331,0.07108449931256468,6.14086097153534,0.0155,
PPO,3,mismatch,2.0,0.0,123,0.06453758430110204,0.1373113438540945,0.09286604832633635,0.07151966602541501,6.749602859569509,0.017249999999999998,
PPO,3,mismatch,2.0,0.0,1024,0.06841413834450528,0.14325359620844946,0.10071729396507254,0.08073434678371992,6.431317749916568,0.016125,
PPO,3,noise,0.0,0.01,42,0.055805075488853315,0.14497968392217714,0.0615901752064625,0.07205116627737874,8.570005667981892,0.0155,
PPO,3,noise,0.0,0.01,123,0.0572955332973686,0.14680803455992025,0.06468693828742003,0.07687179064378138,11.06540873300917,0.018,
PPO,3,noise,0.0,0.01,1024,0.06013784631290083,0.15060255446012333,0.07006870065427692,0.07976726451888677,8.871619413678186,0.017,
PPO,3,noise,0.0,0.02,42,0.07287165469657206,0.15402232774975974,0.12181818140498187,0.1423141615465283,15.660194955148778,0.015375,
PPO,3,noise,0.0,0.02,123,0.07462989687809293,0.15589202226539003,0.12600365003619776,0.14902077279984946,23.4307336403062,0.019,
PPO,3,noise,0.0,0.02,1024,0.07929475056782635,0.16037734661858685,0.1393304194875613,0.15958449752070006,15.305826142514462,0.017625000000000002,
PPO,3,noise,0.0,0.05,42,0.12613664087384596,0.19944781898476865,0.3009593035445123,0.350516608171165,61.891758991273775,0.035125,
PPO,3,noise,0.0,0.05,123,0.12874798414296235,0.2013012915146796,0.30873194566789874,0.36138091813772916,90.0960721056597,0.08562499999999999,
PPO,3,noise,0.0,0.05,1024,0.13865536833717115,0.20889292488818972,0.3451248143040747,0.39600911531597377,57.895985890978594,0.033125,
PPO,3,nominal,0.0,0.0,42,0.041705773111588004,0.1410209697898157,0.007859822342019169,0.00785964124370361,6.157924214515149,0.015625,
PPO,3,nominal,0.0,0.0,123,0.043744696836132,0.14281954178542342,0.012854806771487476,0.014102615276351515,6.815360851139649,0.018,
PPO,3,nominal,0.0,0.0,1024,0.04396817426171872,0.14624253212662128,0.006560498140436075,0.0051972046261652746,6.634465985641098,0.016875,
PPO,3,pulse,0.0,0.0,42,0.25781324763653324,0.7674566087506587,0.02664339196649778,0.015685489773750255,15.669151992123526,0.04425,1.3021595601525289
PPO,3,pulse,0.0,0.0,123,0.25831651744919604,0.7673385401390487,0.02540234814765916,0.02077751755714413,16.506052656166762,0.046875,1.2994952974319736
PPO,3,pulse,0.0,0.0,1024,0.2581561212803627,0.7649815408513089,0.025174053861288143,0.010745695233344985,22.104885532034153,0.063875,1.2889818037612206
SAC,2,mismatch,2.0,0.0,42,0.15558812925014825,0.3362443301238709,0.17401821051571903,0.1860099109122529,9.71745849710318,0.001125,
SAC,2,mismatch,2.0,0.0,123,0.14911023204361767,0.33753733628637506,0.16659261458323416,0.15647774601820852,8.855132811551098,0.0,
