method,controlled_nodes,scenario,mismatch,noise_std,num_controller_seeds,num_test_initial_conditions,mae_mean,mae_seed_sd,rmse_mean,rmse_seed_sd,steady_l1_mean,steady_l1_seed_sd,final_l1_mean,final_l1_seed_sd,energy_u_mean,energy_u_seed_sd,saturation_fraction_mean,saturation_fraction_seed_sd,mean_post_pulse_error_mean,mean_post_pulse_error_seed_sd
LQR,3,noise,0.0,0.01,1,20,0.07413873788836559,,0.17224297500503338,,0.08779670689413091,,0.08708188063465054,,2.869008505880189,,0.002125,,,
LQR,3,noise,0.0,0.02,1,20,0.10018569000844521,,0.1865254340828896,,0.1756215224498135,,0.17394495196640486,,3.431438289534617,,0.00225,,,
LQR,3,noise,0.0,0.05,1,20,0.18256901846278312,,0.25962655567406445,,0.4418571018941562,,0.4326558425091207,,7.110247378230215,,0.0021249999999999997,,,
LQR,3,nominal,0.0,0.0,1,20,0.050989270932401534,,0.1664648847860936,,2.2354033268286112e-05,,4.323991015553475e-06,,2.6487456588423925,,0.002125,,,
LQR,3,pulse,0.0,0.0,1,20,0.333028214025964,,0.816850190626673,,0.061542204212696225,,0.00470975339412684,,7.494004499735333,,0.012375,,1.688340158566638,
Linear,2,mismatch,0.5,0.0,1,20,2.7557159115575836,,3.6886232214504355,,7.822019418986676,,8.294050545990467,,54.90176535531775,,0.00475,,,
Linear,2,mismatch,1.0,0.0,1,20,2.753974130962908,,3.684964674994268,,7.807505658508083,,8.277281383424997,,54.502790223428676,,0.00475,,,
Linear,2,mismatch,1.5,0.0,1,20,2.751335107508028,,3.6809240560014764,,7.791950493349613,,8.259329695254564,,54.110445908019855,,0.00475,,,
Linear,2,mismatch,2.0,0.0,1,20,2.7480657278666163,,3.6766058375110924,,7.775266962601907,,8.240056247264146,,53.72692006871962,,0.00475,,,
Linear,2,noise,0.0,0.01,1,20,2.6012050244147433,,3.5319514669611882,,8.666572720969073,,8.855294547230006,,51.81828333161049,,0.00575,,,
Linear,2,noise,0.0,0.02,1,20,2.587912546171391,,3.5096251871135244,,8.66644054674486,,8.871998233348132,,51.97473740879629,,0.005625,,,
Linear,2,noise,0.0,0.05,1,20,2.6584431013344387,,3.5924521696410414,,8.72802599032329,,8.894187074154615,,56.987502429637665,,0.005875,,,
Linear,2,nominal,0.0,0.0,1,20,2.5672575176095456,,3.485088235431982,,8.721595420237676,,8.863783586770296,,51.030525979543214,,0.00575,,,
Linear,2,pulse,0.0,0.0,1,20,2.563851580637331,,3.6441358443825953,,5.472976146859152,,11.82681605219841,,74.0229399351469,,0.08399999999999999,,8.618820125182896,
Linear,3,mismatch,0.5,0.0,1,20,0.050015966537975944,,0.13873324476193952,,0.030948897220487485,,0.024687170796096274,,3.8739210144945724,,0.005625,,,
Linear,3,mismatch,1.0,0.0,1,20,0.05900555840332067,,0.1425916240574387,,0.061953780764460877,,0.04937044070102271,,3.8956965109601938,,0.005625,,,
Linear,3,mismatch,1.5,0.0,1,20,0.06857886708367954,,0.148593892754536,,0.09303827305902138,,0.07404362487141038,,3.9396495694560016,,0.005625,,,
Linear,3,mismatch,2.0,0.0,1,20,0.07850941176469053,,0.15630179967112715,,0.12419755918988493,,0.09869757927954192,,4.005829229015549,,0.005625,,,
Linear,3,noise,0.0,0.01,1,20,0.06598606698260921,,0.15890847235123312,,0.08110019471467594,,0.09697100305929776,,3.9363889992860117,,0.006,,,
Linear,3,noise,0.0,0.02,1,20,0.08796164994998498,,0.1713047509052947,,0.16199948968118583,,0.19375613220036028,,4.871977126250225,,0.006125,,,
Linear,3,noise,0.0,0.05,1,20,0.15545781616880985,,0.23139828667296986,,0.4000248630559876,,0.47872660160064695,,11.094205510566283,,0.0063750000000000005,,,
Linear,3,nominal,0.0,0.0,1,20,0.04570297947639985,,0.1535740732120609,,5.22765379296913e-05,,1.9166246056554847e-05,,3.5763967042700884,,0.005875,,,
Linear,3,pulse,0.0,0.0,1,20,0.25473989000168384,,0.7652044738413416,,0.02390161813294258,,0.004196730256080574,,16.214748824449458,,0.043,,1.2518264890458455,
PPO,1,nominal,0.0,0.0,3,20,1.3936656748020908,0.0028537839834504117,1.6341769530371266,0.00991333154265806,4.28246260968654,0.15707704856261137,4.605220045149326,0.20391869924734643,266.4896415908795,13.407637317005936,0.7611666666666667,0.055175052862080076,,
PPO,1-2,nominal,0.0,0.0,3,20,0.11445409983507847,0.01098220086666933,0.29474928675730544,0.010983057296402761,0.06794340598196698,0.021207816390622858,0.06335890893824393,0.03285257234659706,20.610553046344265,1.280471268866382,0.023958333333333335,0.0019618762278322587,,
PPO,1-2-3,nominal,0.0,0.0,3,20,0.011841409244136925,0.0006935820431429199,0.07470647229578353,0.0006260804694680219,0.010458167634929252,0.002619992226975823,0.010555322677828322,0.002877596480780184,10.913974860035083,0.1712715357378614,0.010013888888888848,6.364688465216368e-05,,
PPO,1-3,nominal,0.0,0.0,3,20,0.023194231362610368,0.0007220503913983695,0.1019295232827821,0.0005099703812118584,0.011947887302228967,0.0018866306854301706,0.011196493334136864,0.0006024334636200196,10.930248985442624,0.1169065980013356,0.011291666666666667,0.000366216579817645,,
PPO,2,mismatch,0.5,0.0,3,20,0.11154866376195542,0.0036285306077422715,0.3149487669331177,0.0011369266365723024,0.0634990381468336,0.013814735607675493,0.05041777058892569,0.009198148197024206,11.271510155639204,1.4358089190709555,0.02825,0.00495132558008459,,
PPO,2,mismatch,1.0,0.0,3,20,0.12888839851081846,0.005103825810945188,0.32273411913544714,0.0001901550578007645,0.10294928053042314,0.018085020043044797,0.08043205736515419,0.012972231115655758,11.359279345448508,1.4760637344517735,0.02804166666666667,0.005204164998665333,,
PPO,2,mismatch,1.5,0.0,3,20,0.14864943549849208,0.006837129462458858,0.33435086025470556,0.0012288264374794233,0.14825511906801916,0.02525691737191161,0.11452369280935572,0.019610821498961067,11.547328257420396,1.5361417577557577,0.02816666666666667,0.005235595317949368,,
PPO,2,mismatch,2.0,0.0,3,20,0.17025944706831286,0.008498310626870054,0.35012079759194853,0.0029416610422161767,0.19660293425063488,0.03352728137254641,0.15001567126018922,0.026517171862783562,11.845567609284254,1.603789303733086,0.02854166666666667,0.005534456462321602,,
PPO,2,noise,0.0,0.01,3,20,0.11715339529373366,0.002368944540463382,0.2961657647835379,0.0016209781428907562,0.1137854728232609,0.012864216925886062,0.12007787696784357,0.01590155289941541,35.74383869389848,34.77760687667976,0.029375,0.012356678356257398,,
PPO,2,noise,0.0,0.02,3,20,0.15077348993520687,0.0027627975054795736,0.31714411848638846,0.0010932254793974347,0.20987920847849786,0.014300497553531586,0.2155374785497163,0.01522174367644822,62.10502813394936,47.87326135138538,0.059291666666666666,0.057741386442770264,,
PPO,2,noise,0.0,0.05,3,20,0.26687432402477734,0.004855123590197016,0.4258694965347812,0.00222782632338912,0.5383436305884851,0.025409377533674414,0.5227824226332207,0.022302366148768907,135.5674788426157,48.71344190876586,0.23091666666666666,0.14989461575831647,,
PPO,2,nominal,0.0,0.0,3,20,0.09299812895136915,0.002249909866018773,0.2863257572069679,0.001956351950000565,0.04255003026902667,0.013056807801217285,0.0346935205161571,0.013966186088496495,9.088689533636172,1.5324081667668554,0.02183333333333333,0.0041876554697507454,,
PPO,2,pulse,0.0,0.0,3,20,0.4339293558017922,0.024556229940278704,1.0118460352324619,0.014277072361034336,0.09255125742815735,0.03209485336999571,0.06219498415788011,0.02370797688936,17.51448125419147,1.1946245003685907,0.039,0.0045893899376714545,2.0800327339934173,0.1451179107474919
PPO,2-3,nominal,0.0,0.0,3,20,0.020497414400336613,0.0010944590343077614,0.09760574196453482,0.00036250224044042783,0.014103454599670015,0.004040934242564125,0.013613182011370803,0.0038672373753344358,8.150727876134864,0.27346229402373806,0.010729166666666665,0.00015728821740147408,,
PPO,3,mismatch,0.5,0.0,3,20,0.04389606595617923,0.001648731080592923,0.12790195685561934,0.0035984044079835705,0.026017381306478907,0.0010581041177030507,0.020780337310861745,0.0014181133541642129,6.278248480778987,0.3122135212339822,0.016166666666666666,0.0010103629710818461,,
PPO,3,mismatch,1.0,0.0,3,20,0.05058297178618724,0.0019168548573747256,0.13033787786978684,0.003644810129778849,0.048701968648060805,0.0018821453588519904,0.038255042314995026,0.002736060797300691,6.30625070886168,0.3058116126415707,0.016166666666666666,0.0010103629710818461,,
PPO,3,mismatch,1.5,0.0,3,20,0.05789428299715838,0.0021941911383780975,0.1340999426634716,0.0037016019655604616,0.07200495839289504,0.0031991696774736605,0.05615840892617896,0.004183941738877917,6.363742490639482,0.29947779774054584,0.016291666666666666,0.0008868248605746974,,
PPO,3,mismatch,2.0,0.0,3,20,0.06558921886451069,0.002472917782579903,0.13893422913720385,0.0037790013609447343,0.09547352081240407,0.004541263637302196,0.07444617070723321,0.005450065255909158,6.440593860340473,0.3044769387495522,0.016291666666666666,0.0008868248605746974,,
PPO,3,noise,0.0,0.01,3,20,0.057746151699707586,0.002201253838571157,0.14746342431407358,0.0028681562141927835,0.06544860471605315,0.004290273913596805,0.07623007381334897,0.0038978703654683005,9.502344604889748,1.3620278317121606,0.016833333333333336,0.001258305739211791,,
PPO,3,noise,0.0,0.02,3,20,0.07559876738083045,0.003319348231375721,0.1567638988779122,0.003265990328580982,0.12905075030958033,0.00914512086974647,0.15030647728902594,0.008706658554825112,18.13225157932315,4.592039680442819,0.017333333333333336,0.0018300159379998125,,
PPO,3,noise,0.0,0.05,3,20,0.13117999778465983,0.006604214721698943,0.2032140117958793,0.0050046359045683286,0.3182720211721619,0.023577698480418692,0.369302213874956,0.023758203766227268,69.96127232930401,17.55132964173114,0.05129166666666666,0.029750350137995568,,
PPO,3,nominal,0.0,0.0,3,20,0.043139548069812905,0.0012467030572920462,0.1433610145672868,0.0026525596863050532,0.009091709084647574,0.0033230616900277003,0.0090531537154068,0.004571098197063363,6.535917017098632,0.3396169271320579,0.016833333333333336,0.0011880481191152703,,
PPO,3,pulse,0.0,0.0,3,20,0.25809529545536397,0.00025708940434115887,0.7665922299136722,0.001396146299989448,0.02573993132514836,0.0007907024839647592,0.01573623418807979,0.005016103670256224,18.093363393441482,3.4991903465921013,0.051666666666666666,0.010653882312722126,1.296878887115241,0.00696760490314245
SAC,2,mismatch,2.0,0.0,3,20,0.15134548600188744,0.0036760028394673774,0.33907641505909947,0.003840347686780769,0.1657292111530524,0.008752698235403663,0.1607174985731641,0.023461629394014877,9.311397258729547,0.4333493609334647,0.00037499999999999995,0.000649519052838329,,
SAC,2,noise,0.0,0.05,3,20,0.2632298978146466,0.005204198404612241,0.4245470108357862,0.007936060007082357,0.5031456015968634,0.004491518524691489,0.5142484275934597,0.018914696993282378,86.13405224343057,8.860904695225614,8.333333333333333e-05,0.00014433756729740645,,
SAC,2,nominal,0.0,0.0,3,20,0.11733380066609327,0.004573643040882007,0.2998464014481305,0.004517795361603552,0.10555272987682497,0.019571551690798904,0.08970462057429052,0.022110369435610174,6.271674102322966,0.4466121877430486,8.333333333333333e-05,0.00014433756729740645,,
SAC,2,pulse,0.0,0.0,3,20,0.4205760058416055,0.0978629484818328,1.052427805717736,0.10526845862953764,0.21806625749900502,0.03140159695601142,0.14396055837472274,0.0305413597043764,25.198415291053262,9.792967801142018,0.010750000000000001,0.009639599317399038,1.9225718571231463,0.5913037928903311
SAC,3,mismatch,2.0,0.0,3,20,0.06441356300147456,0.0009217208418291834,0.13845719601345627,0.0005314390322781094,0.09608727257038603,0.0047209836321931795,0.07654922646470363,0.005271975600440669,5.0708728389552675,0.15995736381060074,0.0,0.0,,
SAC,3,noise,0.0,0.05,3,20,0.12734480674151027,0.0013470663234361085,0.20306547906389372,0.0017081896865049524,0.30595258668926445,0.0038750885543387997,0.35365086973955234,0.013925286909137293,50.40413339283015,14.205869682022207,4.1666666666666665e-05,7.216878364870322e-05,,
SAC,3,nominal,0.0,0.0,3,20,0.041553898137393054,0.0010481910770179855,0.1429879840724171,0.0002927433384618942,0.009781935334710045,0.0035582363147707774,0.009534748558265417,0.0015729813900145489,4.5951164234310085,0.1104668755804013,4.1666666666666665e-05,7.216878364870322e-05,,
SAC,3,pulse,0.0,0.0,3,20,0.2734926345858265,0.010621346661280994,0.8206832317998058,0.07177010472434742,0.025396479901363223,0.005912615483441759,0.0069438258806864,0.0029178719614035647,12.615402116084603,0.5295515013005809,0.0030833333333333333,0.005340489990004037,1.398664632124462,0.06644261515179849
SMC,2,mismatch,0.5,0.0,1,20,0.1373542453630307,,0.3386246031780087,,0.0980619967449456,,0.0711643221788108,,7.534516506997956,,0.019875,,,
SMC,2,mismatch,1.0,0.0,1,20,0.1649211951750365,,0.35427981002119113,,0.19280523070318184,,0.14148538094013924,,7.601783975579503,,0.01975,,,
SMC,2,mismatch,1.5,0.0,1,20,0.1933074662147855,,0.3764632147857058,,0.28591466874119903,,0.2109146925155073,,7.710097633793782,,0.01975,,,
SMC,2,mismatch,2.0,0.0,1,20,0.22234904026222263,,0.403849208966914,,0.3785707473338087,,0.2821775074815377,,7.8441289332718735,,0.019875,,,
SMC,2,noise,0.0,0.01,1,20,0.14227492938861647,,0.32336199524525855,,0.13989212343801258,,0.14195092171430584,,16.505805552238137,,0.01475,,,
SMC,2,noise,0.0,0.02,1,20,0.1865383573772067,,0.35472355011961904,,0.2808175278757124,,0.2847260074689984,,47.90945247582689,,0.020999999999999998,,,
SMC,2,noise,0.0,0.05,1,20,0.32947655496584655,,0.4988269413490386,,0.729784980932837,,0.7235986879095435,,140.48858004832232,,0.22337500000000002,,,
SMC,2,nominal,0.0,0.0,1,20,0.101792086545251,,0.3072401403862365,,3.631568544710998e-06,,5.565118044614791e-07,,5.59195469508556,,0.01475,,,
SMC,2,pulse,0.0,0.0,1,20,0.5644276468809188,,1.154270977640111,,0.15376635619531162,,0.01163339912891383,,14.126610166121063,,0.034625,,2.76913779618807,
SMC,3,mismatch,0.5,0.0,1,20,0.07476111763522837,,0.16436059389079105,,0.06884517609156135,,0.06105133756063874,,5.630324533595767,,0.015,,,
SMC,3,mismatch,1.0,0.0,1,20,0.09116331609140177,,0.17423058346522666,,0.13613195353903357,,0.1211806189268827,,5.661833548474082,,0.015,,,
SMC,3,mismatch,1.5,0.0,1,20,0.10813615728779913,,0.18743528160311165,,0.20194742972718224,,0.18018956566229458,,5.725813711305056,,0.014875,,,
SMC,3,mismatch,2.0,0.0,1,20,0.12567127208228906,,0.20291515502755542,,0.2664663657724259,,0.23792777704074974,,5.823056853028165,,0.014875,,,
SMC,3,noise,0.0,0.01,1,20,0.10220136472124855,,0.2004428882117011,,0.12263642556959597,,0.1373237452935427,,9.234489195731822,,0.0115,,,
SMC,3,noise,0.0,0.02,1,20,0.135828516875581,,0.22327316207949174,,0.2456003548522813,,0.27426691884174936,,23.071887278685157,,0.01175,,,
SMC,3,noise,0.0,0.05,1,20,0.23893127839476005,,0.32313161494610265,,0.6028779040527656,,0.6731341524980963,,92.50815458720055,,0.08687500000000001,,,
SMC,3,nominal,0.0,0.0,1,20,0.0727948495227073,,0.18972410096653683,,5.025116570097877e-05,,6.5211672335863115e-06,,4.595304947756912,,0.011375,,,
SMC,3,pulse,0.0,0.0,1,20,0.36259931852255367,,0.8236559420980614,,0.13812100806583955,,0.029167261719703613,,11.373059758058938,,0.029875000000000002,,1.7352260709337113,
