scenario,node,method,model_name,train_seed,test_seed,mismatch,pulse_step,mae,steady_l1,final_l1,energy_u,saturation_fraction,mean_post_pulse_error
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,119,0.0,-1,0.2730085559970067,0.02577468368259293,0.038095325231552124,24.437182931720038,0.0625,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,100,0.0,-1,0.050650483402961605,0.04614214107026288,0.023879051208496094,2.432367571984711,0.005,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,101,0.0,-1,0.03282688400094225,0.03903071820896901,0.03838684782385826,2.5878731819503504,0.0075,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,102,0.0,-1,0.06783120901573911,0.042644565649054667,0.034211039543151855,7.332143452191974,0.0175,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,103,0.0,-1,0.07632367623813531,0.04601974252404438,0.034252166748046875,7.938689796037065,0.0225,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,104,0.0,-1,0.1531683853242921,0.05553232285159605,0.021192945539951324,15.980514962485747,0.0375,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,105,0.0,-1,0.03347260425686341,0.050320859228111345,0.02988712303340435,7.307653172082327,0.02,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,106,0.0,-1,0.13143307321293843,0.035747393442570795,0.03782931063324213,11.229586623898417,0.0275,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,107,0.0,-1,0.10681279225031833,0.04345268299113269,0.06389909982681274,7.113639191013758,0.0175,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,108,0.0,-1,0.031787957816329766,0.05549027838882197,0.02198117971420288,3.72301307963692,0.01,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,109,0.0,-1,0.10287562359808786,0.07718765965582412,0.032847714610397816,6.721871226336101,0.015,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,110,0.0,-1,0.04336023351339374,0.09001719289355808,0.060634955763816833,4.942157433747748,0.015,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,111,0.0,-1,0.2525705449270156,0.06994757006795686,0.055491168051958084,23.48243571309149,0.0575,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,112,0.0,-1,0.04377699267167168,0.048568971535581866,0.037473440170288086,3.4747545209897175,0.01,
