node,method,mismatch,pulse_step,num_runs,mae_mean,mae_std,rmse_mean,rmse_std,mean_l1_mean,mean_l1_std,steady_l1_mean,steady_l1_std,final_l1_mean,final_l1_std,mean_abs_u_mean,mean_abs_u_std,energy_u_mean,energy_u_std,saturation_fraction_mean,saturation_fraction_std
3,LQR,2.0,-1,20,0.11246070993716273,0.04357893722392344,0.19739888912718967,0.06915764683600618,0.3373821298114882,0.13073681167177031,0.2158930107340343,0.18774086624779873,0.09126167639624327,0.1142536762024,0.14742155337029134,0.05998879414168273,2.8617232604269747,2.812263232999452,0.0032500000000000003,0.007075718300899508
3,Linear,0.0,-1,20,0.03962522126531649,0.025282073071132862,0.13488296496971355,0.07066361396960258,0.11887566379594945,0.07584621921339858,4.128593661144007e-05,5.2558578711699087e-05,1.0025501251220702e-05,9.871416247380936e-06,0.08338478367469834,0.040785145207165745,2.984432882034875,2.1792835406035933,0.0045,0.006766791978789544
3,Linear,0.5,-1,20,0.04291993815924151,0.024596741720991317,0.13893380325431975,0.07547445303163897,0.1287598144777245,0.07379022516297394,0.025209939400061825,0.01754440489010717,0.014822926581837237,0.012848437983779508,0.09058086526959883,0.03903243781359084,3.4699722575570022,2.7838221657288473,0.007000000000000001,0.009233805168766387
3,Linear,1.0,-1,20,0.052333892508245314,0.028171981542311646,0.14293863252919908,0.07629493375055031,0.15700167752473596,0.08451594462693494,0.05032544663336911,0.03504514991172927,0.02946513963397592,0.02558401803316029,0.10825966234891407,0.04319243706524616,3.505914580209004,2.7840757026537792,0.007000000000000001,0.009233805168766387
3,Linear,1.5,-1,20,0.0621546842872445,0.032131989746511505,0.14922290161860424,0.07677568417005766,0.18646405286173348,0.09639596923953453,0.07535873397402926,0.052509871552066746,0.04393245622050017,0.038189181620467375,0.126531213012517,0.04949003751964258,3.5695812901244275,2.790692569655712,0.007000000000000001,0.009233805168766387
3,Linear,2.0,-1,20,0.07218053450065262,0.036360374674667115,0.15727253275260872,0.07736295059774562,0.21654160350195784,0.10908112402400133,0.10031715547723444,0.06994986343614398,0.05829415069893003,0.050707673204635574,0.14510183603406426,0.057161453074572245,3.660539435411839,2.804717244854847,0.007000000000000001,0.009233805168766387
3,Zero Input,0.0,-1,20,1.0306326087382107,0.5298996603658207,1.444497455254621,0.7229523235197053,3.0918978262146317,1.589698981097462,2.028958416106122,1.0239318579841445,1.3712875093799084,1.1871562785302991,0.0,0.0,0.0,0.0,0.0,0.0
3,Zero Input,0.5,-1,20,1.0638556587591292,0.37957530055025895,1.4864301619672355,0.5124947970521686,3.1915669762773877,1.138725901650777,2.6243406161490572,1.0517119038109928,2.1140970865264537,1.6554389139765227,0.0,0.0,0.0,0.0,0.0,0.0
3,Zero Input,1.0,-1,20,1.132049031307416,0.4002857035518692,1.5601293844677793,0.5129436889827875,3.396147093922248,1.2008571106556076,2.7504590222216785,1.3707220267464173,1.519101645704359,1.1510944855765495,0.0,0.0,0.0,0.0,0.0,0.0
3,Zero Input,1.5,-1,20,1.1131568087196382,0.39081495709790376,1.5275314800082682,0.5050380516837916,3.339470426158914,1.1724448712937112,2.5482271355300865,0.7626443878614141,2.8995179641991853,1.6929392151991747,0.0,0.0,0.0,0.0,0.0,0.0
